time_s,WT_pH
0.0,6.840843854589356
1e-06,6.840843854589356
1.0,6.843106205735747
5.0,6.850423225417413
10.0,6.856136065347159
15.0,6.858681988243676
20.0,6.858655417697244
25.0,6.856555398179017
30.0,6.852798818007935
35.0,6.847733085893462
40.0,6.841647327460041
45.0,6.834781933485751
50.0,6.827336553847884
55.0,6.819476750347614
60.0,6.811339504390499
65.0,6.803037798098084
70.0,6.7946644238124545
75.0,6.786295176193813
80.0,6.777991528124463
85.0,6.769802890823805
90.0,6.76176852130961
95.0,6.75391914236737
100.0,6.746278315146441
105.0,6.738863607899654
110.0,6.731687587550165
115.0,6.7247586641772426
120.0,6.718081807028287
125.0,6.711659153434773
130.0,6.705490524068483
135.0,6.699573859958572
140.0,6.693905591172923
145.0,6.6884809483494445
150.0,6.683294224452333
155.0,6.678338994862601
160.0,6.673608301323303
165.0,6.669094805590604
170.0,6.664790916946784
175.0,6.660688897761657
180.0,6.656780950237738
185.0,6.653059287327238
190.0,6.649516190181625
195.0,6.6461440542484365
200.0,6.642935425806131
205.0,6.6398830304125225
210.0,6.636979794633516
215.0,6.634218862065241
220.0,6.631593604698767
225.0,6.629097630307407
230.0,6.62672478666721
235.0,6.624469163052022
240.0,6.622325089633672
245.0,6.620287135058866
250.0,6.618350102696916
255.0,6.6165090257101715
260.0,6.614759161337368
265.0,6.613095984458422
270.0,6.611515180751408
275.0,6.610012639453166
280.0,6.608584445973174
285.0,6.607226874334071
290.0,6.605936379641154
295.0,6.604709590529809
300.0,6.603543301756386
305.0,6.602434466866706
310.0,6.601380191078899
315.0,6.600377724306793
317.0,6.599990654524135
