time_s,apical_export_difference_fmol,mass_balance_reconstruction_fmol,AE4_supply_difference_fmol,remaining_reservoir_difference_fmol,identity_error_fmol
1e-06,2.1324689106518705e-07,1.338086299540464e-07,1.3380862931861923e-07,19.698594731853568,7.943826111114064e-08
0.0032259503191029507,0.0006877139484289961,0.0006876345099513514,0.000431660195759764,19.698338757539375,7.943847764465238e-08
0.035475453510132454,0.007540888710018297,0.007540809271571192,0.004746945650313923,19.69580086823231,7.943844710506243e-08
0.07678538140204352,0.016267021846153508,0.01626694240774995,0.010274648324728247,19.692602437770546,7.943840355656429e-08
0.11809530929395459,0.02494053482458811,0.024940455386197158,0.015802382902447298,19.689456659369817,7.943839095206351e-08
0.17336959505709482,0.03647041260284322,0.0364703331644769,0.023198713587978467,19.685323112277068,7.94383663224596e-08
0.22864388082023504,0.047918426022988805,0.04791834658464822,0.030595005611924676,19.681271390880845,7.943834058610211e-08
0.3077356680847455,0.06416267763322675,0.0641625981950007,0.041178186982112876,19.67561032064068,7.943822605271933e-08
0.40634182416481285,0.0841964581788986,0.08419637874110819,0.05437220211566773,19.66877055522813,7.943779041508225e-08
0.5335607037515944,0.10969579641141958,0.10969571697486913,0.07139397571717124,19.66029299059587,7.943655044861941e-08
0.7048067006692742,0.143421123369393,0.14342104393643496,0.09430485635097989,19.649478544268113,7.943295804446748e-08
0.9533567266185161,0.19119897550562356,0.19119889608361262,0.12755403264680576,19.63494986841676,7.942201094013335e-08
1.3669817415618628,0.2678174132941221,0.26781733390653173,0.1828721591891923,19.613649557136227,7.938759039038956e-08
1.9052217710662251,0.36256103280228597,0.36256095341530425,0.25482410100917646,19.59085787944744,7.938698171061631e-08
2.4434618005705877,0.4522575848200466,0.45225750543660226,0.3267304855607694,19.573067711977735,7.938344431801525e-08
2.9817018300749503,0.5374374075855172,0.5374373282157272,0.39858181898494793,19.559739222622788,7.936978996259114e-08
3.519941859579313,0.6185628197547424,0.6185627404056682,0.47036904410859054,19.55040103555649,7.934907420015236e-08
4.058181889083675,0.6960391476051382,0.6960390682811379,0.5420835075548833,19.544639171127315,7.932400025723041e-08
4.716102243105019,0.7863039298409298,0.7863038505874513,0.6296331594214525,19.54192404068757,7.925347844661701e-08
5.374022597126363,0.8722175877178613,0.8722175085618566,0.7170473401001051,19.543424563391817,7.91560046398132e-08
