time_s,WT_pH
0.0,6.909781488762312
1e-06,6.909781488762312
1.0,6.9116852031000615
5.0,6.9188142396821695
10.0,6.926712618419455
15.0,6.933628855476358
20.0,6.939711872853598
25.0,6.945093381829505
30.0,6.949885461325863
35.0,6.954181700728158
40.0,6.958059525043689
45.0,6.961582740752526
50.0,6.964803899862601
55.0,6.967766344090571
60.0,6.970505906159984
65.0,6.973052301076059
70.0,6.975430252024921
75.0,6.977660399884618
80.0,6.979760037022043
85.0,6.981743701525632
90.0,6.983623659178059
95.0,6.985410296401165
100.0,6.987112441205993
105.0,6.98873762665602
110.0,6.990292307394539
115.0,6.991782038377578
120.0,6.993211622460091
125.0,6.9945852327188796
130.0,6.9959065137995005
135.0,6.997178666158885
140.0,6.998404516028689
145.0,6.999586573695097
150.0,7.0007270819877325
155.0,7.0018280567422595
160.0,7.002891320519044
165.0,7.003918530789129
170.0,7.00491120346219
175.0,7.005870732593315
180.0,7.0067984068670235
185.0,7.007695423439249
190.0,7.008562899546767
195.0,7.009401882288422
200.0,7.010213356857786
205.0,7.010998253509621
210.0,7.011757453450362
215.0,7.012491793850477
220.0,7.013202072107529
225.0,7.0138890494981005
230.0,7.014553454306187
235.0,7.015195984529486
240.0,7.015817310209114
245.0,7.016418075469867
250.0,7.016998900295561
255.0,7.017560382095252
260.0,7.018103097083262
265.0,7.0186276015099995
270.0,7.019134432758199
275.0,7.01962411033206
280.0,7.020097136747696
285.0,7.020553998345709
290.0,7.020995166030176
295.0,7.021421095950137
300.0,7.021832230125158
305.0,7.022228997027697
310.0,7.022611812122079
315.0,7.022981078370391
320.0,7.023337186703968
325.0,7.023680516469034
330.0,7.024011435844476
335.0,7.024330302239061
340.0,7.024637462665076
345.0,7.0249332540970455
350.0,7.025218003806391
355.0,7.02549202969026
360.0,7.025755640574395
365.0,7.02600913651079
370.0,7.026252809058322
375.0,7.026486941553695
380.0,7.026711809369648
385.0,7.026927680164394
390.0,7.027134814119704
395.0,7.0273334641713046
400.0,7.027523876229083
405.0,7.027706289390462
410.0,7.0278809361445935
415.0,7.0280480425704255
420.0,7.028207828526431
425.0,7.028360507834834
430.0,7.028506288458219
435.0,7.028645372671169
440.0,7.028777957224917
445.0,7.028904233507494
450.0,7.029024387697447
455.0,7.029138600913454
460.0,7.029247049358015
465.0,7.029349904457399
470.0,7.0294473329960985
475.0,7.029539497247874
480.0,7.02962655510171
485.0,7.029708660184622
490.0,7.029785961979772
495.0,7.029858605941669
500.0,7.029926733607013
505.0,7.029990482702857
510.0,7.030049987250717
515.0,7.030105377668199
520.0,7.030156780866863
525.0,7.030204320347784
530.0,7.030248116293606
535.0,7.030288285658463
540.0,7.030324942254623
545.0,7.030358196837171
550.0,7.030388157185611
555.0,7.030414928183651
560.0,7.030438611896119
565.0,7.03045930764418
570.0,7.030477112077866
575.0,7.030492119247039
580.0,7.030504420669815
585.0,7.0305141053995515
590.0,7.030521260089444
595.0,7.030525969055772
600.0,7.030528314338933
