time_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s
0.0,0.2562444047732706,0.004937067441546469,-0.001983554393538192
60.0,0.32773336313509316,0.0685996609113216,-0.0009484620717886118
120.0,0.29265659029353874,0.07373218269943582,-0.0008850249180522058
180.0,0.28349561225227843,0.07357533145658593,-0.000877183524095179
240.0,0.2825182526141608,0.07310206038259097,-0.0008692280150287983
300.0,0.2838162758490164,0.0726862677910671,-0.0008609153363378347
360.0,0.2854668367930359,0.07233217932998905,-0.000853452011920943
420.0,0.28690900557449955,0.07202922495008657,-0.0008471276311084211
480.0,0.2880349396801051,0.0717696751589971,-0.0008418760589131157
540.0,0.28887439118724456,0.07154729209147394,-0.0008375423985519226
600.0,0.2894875604637763,0.07135673329081496,-0.0008339682853328138
