time_s,WT_pH
0.0,6.837303613237389
1e-06,6.837303613237389
1.0,6.839581434160009
5.0,6.846934483503269
10.0,6.85263572444079
15.0,6.855109773007811
20.0,6.8549537117720085
25.0,6.852668772496481
30.0,6.848673581212739
35.0,6.843316984537768
40.0,6.836889418219351
45.0,6.829632608912751
50.0,6.821747687063577
55.0,6.813401920699678
60.0,6.80473427060904
65.0,6.795859988259975
70.0,6.786874419172252
75.0,6.7778561699234965
80.0,6.768869746811274
85.0,6.759967770003176
90.0,6.751192831293078
95.0,6.74257906294683
100.0,6.734153460909574
105.0,6.725937007139492
110.0,6.717945619421818
115.0,6.7101909591878
120.0,6.702681116565761
125.0,6.695421193952527
130.0,6.688413801494759
135.0,6.681659479542189
140.0,6.67515705755164
145.0,6.6689039601635685
150.0,6.662896467253816
155.0,6.657129935590991
160.0,6.6515989870290575
165.0,6.646297668668209
170.0,6.641219588587131
175.0,6.636358031012672
180.0,6.6317060535919445
185.0,6.627256569514431
190.0,6.62300241648359
195.0,6.618936414487154
200.0,6.615051413890331
205.0,6.611340335230221
210.0,6.60779620189252
215.0,6.604412166639335
220.0,6.601181532917772
222.0,6.599930763395106
