time_s,WT_q_out_pL_s,KO_q_out_pL_s,WT_cl_i_mM,KO_cl_i_mM,WT_ph_i,KO_ph_i,WT_volume_i_pL,KO_volume_i_pL,WT_chloride_driving_force_V,KO_chloride_driving_force_V,WT_N_fmol_s,KO_N_fmol_s,WT_E_fmol_s,KO_E_fmol_s,WT_A_fmol_s,KO_A_fmol_s,WT_J_fmol_s,KO_J_fmol_s,WT_J_aux_fmol_s,KO_J_aux_fmol_s
0.0,0.0010757073853493032,0.0010757073853493032,50.1,36.5,6.91,6.890000000000001,1.4484260832245268,1.4484260832245268,0.006865206488670755,0.0050739767218315746,0.17472280827067604,0.17472280827067604,0.0010340193720500543,0.0010340193720500543,0.13380862931861923,0.0,0.22480641156538328,0.1661512295491201,0.0,0.0
1e-06,0.0010757073853493032,0.0010757073853493032,50.1,36.5,6.91,6.890000000000001,1.4484260832245268,1.4484260832245268,0.003072596962643767,0.0017495289679464732,0.3057649144736831,0.3057649144736831,0.0010340193720500543,0.0010340193720500543,0.13380862931861923,0.0,0.48565921698977566,0.276533134349884,0.0,0.0
0.003225950374519387,0.0010757770172103859,0.0010757604638793716,50.10070240336288,36.500833341497064,6.910002995367797,6.8900104742577035,1.4484225608141967,1.4484227014816946,0.0030719662612696194,0.0017496881496219946,0.3057511493069848,0.3057511493069848,0.0010339162129963538,0.0010339162129963538,0.13380873022524667,0.0,0.4855595273984472,0.2765582948407758,0.0,0.0
0.03547545411971325,0.0010778891182214422,0.001076172368805703,50.107675242736136,36.50880359266077,6.910032904688242,6.890115138519,1.4483890593454198,1.4484030503118834,0.00306615595880199,0.001751158932623141,0.3056143836947852,0.3056143836947852,0.0010328841713475477,0.0010328841713475477,0.13380961187182921,0.0,0.4846411424032102,0.27679076897564714,0.0,0.0
0.07729253298013045,0.0010833890205385944,0.0010765960518815594,50.11646662695649,36.51840433434682,6.910071568858156,6.89025064129006,1.4483534178734712,1.4484060527236569,0.003059590834009824,0.001752862679236862,0.30544117411970517,0.30544117411970517,0.0010315448805799097,0.0010315448805799097,0.13381026004279553,0.0,0.4836034490757846,0.2770600656834251,0.0,0.0
0.11910961184054764,0.0010907733422823086,0.0010770831330538411,50.124914314070075,36.52746929126988,6.9101101014745545,6.890385903583585,1.4483282521832228,1.4484296095958344,0.0030536973093886095,0.0017544628036883086,0.3052735707649156,0.3052735707649156,0.0010302045608465628,0.0010302045608465628,0.13381027112084623,0.0,0.48267190986395575,0.2773129837190881,0.0,0.0
0.1752542389152028,0.0011023079139177965,0.0010779450899834897,50.13576653720756,36.53912812904946,6.910161632514549,6.890567132087692,1.4483093623789125,1.4484804734104044,0.0030463979579897216,0.0017565557801126758,0.3050565426623982,0.3050565426623982,0.0010284036019215814,0.0010284036019215814,0.13380936493373324,0.0,0.4815181635939384,0.27764380266599004,0.0,0.0
0.23139886598985798,0.0011147790128532926,0.001079039782990035,50.14618918010339,36.55043629073672,6.910212932892895,6.890747928470285,1.4483036583307072,1.4485440385244548,0.0030395123524526828,0.0017586345153746685,0.3048465987668014,0.3048465987668014,0.0010266011771458267,0.0010266011771458267,0.13380759620231228,0.0,0.48042981460633105,0.2779723706337198,0.0,0.0
0.31207027673826127,0.0011333239491510606,0.001080911369023685,50.16068277777354,36.56634337741591,6.910286244937671,6.8910069526716144,1.448310651281499,1.448646815329026,0.003030041220711554,0.0017616194464474197,0.3045530849300431,0.3045530849300431,0.0010240089962477038,0.0010240089962477038,0.13380393536901353,0.0,0.47893279352568596,0.2784441732505894,0.0,0.0
0.4128539418923519,0.0011566082599961975,0.0010835384343226924,50.17836612246659,36.585913652441434,6.910377181430012,6.891329314709704,1.4483335966171182,1.4487838089020448,0.003018648781281136,0.0017653342686335532,0.3041939672199255,0.3041939672199255,0.0010207668817369371,0.0010207668817369371,0.13379805013029597,0.0,0.47713208771211923,0.27903134353556597,0.0,0.0
0.5431819460153128,0.0011861336260960004,0.0010871440186785793,50.200964984845996,36.61095945396124,6.910493714399244,6.891744152780801,1.448374092514787,1.448965784937547,0.003004425934555917,0.0017700786072577523,0.3037352546046265,0.3037352546046265,0.0010165686582034432,0.0010165686582034432,0.13378890726552328,0.0,0.4748840035384005,0.27978124071029353,0.0,0.0
0.7192892506131823,0.0012244433328157918,0.0010921255544914076,50.231413410519664,36.64452208914667,6.910649309612335,6.892301127518307,1.448436557596993,1.4492130187914691,0.0029859475343735134,0.001776340253077345,0.3031193401068647,0.3031193401068647,0.0010108861869817978,0.0010108861869817978,0.133774402326543,0.0,0.47196328029584156,0.28077096570279436,0.0,0.0
0.9768914316154755,0.0012769620604249272,0.0010994181502922418,50.27606430653469,36.69317478330754,6.910873113510063,6.893108561111456,1.4485345952367823,1.4495722163462017,0.0029602745783998165,0.0017851609448859551,0.30222167439893705,0.30222167439893705,0.0010025558544150615,0.0010025558544150615,0.13374925367468338,0.0,0.4679053749318818,0.28216517728640267,0.0,0.0
1.0,0.001281472680744178,0.0011000696258669702,50.2800793425345,36.697515514197605,6.910892973495334,6.893180575988296,1.4485436525836348,1.4496042368104647,0.002958045611683096,0.0017859325684813007,0.3021412806036704,0.3021412806036704,0.0010018075772243924,0.0010018075772243924,0.13374677820813968,0.0,0.46755306115838663,0.2822871412522864,0.0,0.0
1.4111765562506313,0.0013565229604549035,0.0011115508948088243,50.35177791395718,36.77412222419793,6.9112405315535765,6.894450716357836,1.4487107431930748,1.4501680855905108,0.002920276845592658,0.0017991398295685093,0.3007141806175535,0.3007141806175535,0.0009884686415234786,0.0009884686415234786,0.1336968623531971,0.0,0.4615832741706492,0.2843747004590996,0.0,0.0
1.9608265264291367,0.001442761462692116,0.0011265081222003816,50.44826777756704,36.87472197205071,6.911688531497868,6.896116354039253,1.4489496127864019,1.4509046668523928,0.0028748690511191874,0.0018153375190403664,0.2988169093479378,0.2988169093479378,0.0009705747462130639,0.0009705747462130639,0.13361330516617143,0.0,0.45440605106676274,0.28693493119602553,0.0,0.0
2.0,0.0014483472381399964,0.0011275547906495931,50.45516758430842,36.88181499565374,6.9117197605697,6.896233697772483,1.448967240349848,1.4509564313438919,0.002871834198811943,0.0018164320514989021,0.29868217168745514,0.29868217168745514,0.0009692971311063691,0.0009692971311063691,0.13360663685584223,0.0,0.4539263578257892,0.2871079346140608,0.0,0.0
2.510476496607642,0.0015149894029175383,0.001140934113665218,50.54529583654649,36.9733396836717,6.912118527049723,6.897746761210529,1.4492034200021342,1.4516223267626702,0.0028344972725044097,0.001830014869075837,0.29693253751946114,0.29693253751946114,0.0009526252631270045,0.0009526252631270045,0.133511341741342,0.0,0.4480248280723655,0.28925485483468527,0.0,0.0
