time_s,linear_dQ_de,asymptotic_dQ_de,scaled_state_amplification
0,0.0,1.2852655675318108e-06,1.0
30,3.576758841849158e-05,1.2852655675318108e-06,1.224715874417679
60,3.5625183830519084e-05,1.2852655675318108e-06,1.257058425792023
120,3.133657028831677e-05,1.2852655675318108e-06,1.2314057434158077
300,2.051894581787938e-05,1.2852655675318108e-06,1.1025151610180097
600,1.0027465562651313e-05,1.2852655675318108e-06,0.7030218805762689
1200,2.9455535983982332e-06,1.2852655675318108e-06,0.1716190258589152
2400,1.3389000134494147e-06,1.2852655675318108e-06,0.006163695147608657
