time_s,q_pL_s,na_i_mM,k_i_mM,cl_i_mM,T_i_mM,A_i_mM,ph_i,hco3_i_mM,V_i_pL,V_l_pL,cl_l_mM,ph_l,osm_lumen_mOsm,N,H,E,B,J4,P,CaCC,paraCl,Va_V,Vb_V,charge_max_fmol,current_residual_A,max_amount_rhs,max_volume_rhs
0.0,0.0010776814707374822,11.504825605191392,116.97377381898451,60.57229665283094,5.685898476324307,14.194120217840048,6.9109830678074875,4.92311254096896,1.4533343925874602,0.10538840735368742,145.9239041626896,6.910236234841876,301.41542362959416,0.2246180790956952,0.018126014770037616,-0.0019869843454434683,0.10001555634147975,0.0,0.04458903298618399,0.2725934374430705,0.11870819939904106,-0.039935529116017,-0.0818606200598338,1.4210854715202004e-14,9.370405376577267e-26,0.2201441117984406,1.4641066137244252e-15
5.0,0.0010717670813999937,12.058211283856288,116.63348831204704,60.586308054379224,6.3386314762187155,14.81614765705003,6.92066371927552,5.504470309516054,1.464869015127611,0.10535883540699997,146.06963839301446,6.887965909882308,301.4579044907505,0.19931506194162565,0.01686525322468802,-0.001747436693707406,0.09560274459295032,0.0,0.04703919899412554,0.27936717407233697,0.11754376486305855,-0.0403644524205828,-0.08181346135295413,2.5579538487363607e-13,1.4013602799384692e-23,0.20981817910429607,0.002143244925348455
10.0,0.001098483238298989,12.505730806410616,116.34875375055042,60.51066398836213,6.95199656087016,15.41091110262481,6.929881241385447,6.053754122584154,1.474730238588597,0.10549241619149495,146.16207617624664,6.857565519117525,301.46018119555356,0.18191796918716366,0.015769641543917072,-0.00153249111886793,0.09108927025706581,0.0,0.048876952498740134,0.28307028477961,0.11670069920539045,-0.04063803176787152,-0.08174475864040714,2.7000623958883807e-13,1.6155871338926322e-26,0.19948067317691662,0.0018173617840132226
15.0,0.0011243913928928762,12.874840780079305,116.12095018844738,60.38586810305684,7.52836381919291,15.978398397871098,6.938641532093584,6.572510651781603,1.4831750171705804,0.10562195696446439,146.2271931077326,6.82539060747096,301.46033731818454,0.1694736265812415,0.014806268969611578,-0.0013391982342341518,0.08656984368687556,0.0,0.05029850149881011,0.28489463609261334,0.11607242580639379,-0.040815113865340376,-0.08166745967684956,2.4158453015843406e-13,6.462348535570529e-27,0.18928515457759687,0.0015714277218417986
20.0,0.0011427692636327093,13.182892123009193,115.93791772892365,60.231471847957934,8.069311678775673,16.51771884405586,6.9469643406270665,7.061692046235066,1.490535588895573,0.10571384631816355,146.27147527305578,6.7946917789244985,301.4593445130115,0.16044197544949065,0.013951880819265199,-0.001165005955788561,0.08212362225648447,0.0,0.051421678359937745,0.2856125849464935,0.11557596236267273,-0.04093491841458904,-0.08158756602245794,2.4158453015843406e-13,1.9387045606711586e-26,0.1793641312880227,0.0013804344161109715
25.0,0.0011540904321641011,13.442268353768315,115.7908638777507,60.06031285826498,8.576554955161805,17.02889991397382,6.954876177213985,7.522446679838159,1.49704439204851,0.10577045216082051,146.2999382799132,6.766865890237681,301.4578048505064,0.15384247928186565,0.013188672435888562,-0.0010076862394603457,0.07780777674400478,0.0,0.05232414626643843,0.28570274679481933,0.11516062914526377,-0.04102161193240919,-0.08150876504453715,2.4158453015843406e-13,6.462348535570529e-27,0.16981191216335847,0.0012286355194500104
30.0,0.0011603252244092367,13.662148179014412,115.67318600631071,59.88098900656945,9.051902778233742,17.5125505493309,6.962406109065151,7.9560702698524555,1.502869948234769,0.10580162612204619,146.31644652778817,6.74232886039031,301.4560649282892,0.1490200546383915,0.012502611232069123,-0.0008652901340406273,0.0736611701777504,0.0,0.053059131681899185,0.28545055351662424,0.11479711997631713,-0.04108933935974736,-0.08143318363754425,2.4158453015843406e-13,2.5849394142282115e-26,0.16069024172161053,0.0011057464805900607
35.0,0.0011632653620255397,13.8495347694877,115.57978743064018,59.69933761067492,9.497207792860848,17.969637940591003,6.969583347069457,8.363950587420458,1.5081383193877997,0.1058163268101277,146.32398240616172,6.721020094961618,301.45431261579466,0.14552006418905228,0.011882422261355831,-0.0007361138315173586,0.06970809393005215,0.0,0.053664312367909035,0.2850224122152546,0.1144690589122544,-0.04114610045121487,-0.08136195591243127,2.4158453015843406e-13,1.2924697071141057e-26,0.15203472395297749,0.0010048024269999733
40.0,0.0011641954179885006,14.009892669851924,115.50665167766066,59.51934956363416,9.914320528652755,18.401338030535538,6.976435918888044,8.747518096830957,1.5129463317010805,0.10582097708994251,146.324853100705,6.702671352712936,301.4526427285376,0.14301723742589192,0.011318921124928492,-0.000618669273622881,0.0659616729900393,0.0,0.05416708910401608,0.28451384160245785,0.11416748915918701,-0.04119629507860653,-0.0812956032733361,2.984279490192421e-13,2.5849394142282115e-26,0.14386093637862998,0.0009209175892957032
45.0,0.0011639522945077502,14.147561427428348,115.45056247896547,59.34375107794945,10.305053612581817,18.808935367737774,6.982989997023971,9.108206622280004,1.5173699760171577,0.10581976147253876,146.32084596719423,6.686943377067534,301.4510976510431,0.14127312963992494,0.010804547385231804,-0.0005116574607083415,0.062426764846222296,0.0,0.05458784630607287,0.2839788951004951,0.11388755225559054,-0.041242275805095076,-0.08123427670394813,2.8421709430404007e-13,1.6155871338926322e-26,0.13616973453838474,0.0008505503529238271
