parameter,inventory_path,active_value,interval_status,WT_Q_per_log_parameter,WT_Q_log_elasticity,WT_Q_elasticity_step_disagreement,WT_pH_per_log_parameter,WT_pH_log_elasticity,WT_pH_elasticity_step_disagreement,null_stationary_deficit_per_log_parameter,null_stationary_deficit_log_elasticity,null_stationary_deficit_elasticity_step_disagreement,NBC_alkalinity_share_per_log_parameter,NBC_alkalinity_share_log_elasticity,NBC_alkalinity_share_elasticity_step_disagreement,noNBC_observed_support_share_per_log_parameter,noNBC_observed_support_share_log_elasticity,noNBC_observed_support_share_elasticity_step_disagreement,AE4_alkalinity_demand_per_log_parameter,AE4_alkalinity_demand_log_elasticity,AE4_alkalinity_demand_elasticity_step_disagreement,NHE_physiological_upper_per_log_parameter,NHE_physiological_upper_log_elasticity,NHE_physiological_upper_elasticity_step_disagreement,noNBC_AE4_capacity_upper_per_log_parameter,noNBC_AE4_capacity_upper_log_elasticity,noNBC_AE4_capacity_upper_elasticity_step_disagreement,noNBC_capacity_to_current_demand_per_log_parameter,noNBC_capacity_to_current_demand_log_elasticity,noNBC_capacity_to_current_demand_elasticity_step_disagreement,noNBC_capacity_gap_per_log_parameter,noNBC_capacity_gap_log_elasticity,noNBC_capacity_gap_elasticity_step_disagreement,chloride_compensation_gain_per_log_parameter,chloride_compensation_gain_log_elasticity,chloride_compensation_gain_elasticity_step_disagreement,WT_slowest_decay_per_log_parameter,WT_slowest_decay_log_elasticity,WT_slowest_decay_elasticity_step_disagreement,null_slowest_decay_per_log_parameter,null_slowest_decay_log_elasticity,null_slowest_decay_elasticity_step_disagreement,WT_H_concentration_log_elasticity,null_deficit_percentage_points_per_log_parameter,step_absolute_max_error,max_IFT_relative_error,all_nearby_roots_physiological
NBC_capacity,nbc.capacity_fmol_s,0.11570913197464398,No justified physiological uncertainty interval; local analysis only.,3.1558769081297885e-05,0.01992262124809102,1.936081283599975e-09,0.06483204979416278,0.009195531470246448,4.952740630696918e-10,0.01972557181106893,2.0847747821938873,2.0706102228415444e-07,0.05178771925717918,0.05423847190710115,5.629978105009404e-09,-0.051787719258011844,-1.1461322937661318,1.1894463730978392e-07,0.09060264955595976,0.6034347789855279,5.7830612210042676e-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.3497585785026125,-0.6034348184959555,6.070071044942441e-08,0.04530132477797988,1.435426338473145,1.3756513019663515e-07,-0.05980544321770864,-0.06437540557142463,3.713706859071973e-09,37.006083642438625,0.10701011008617024,7.166274868364128e-08,-61.70627072390289,-0.1341685573789432,7.42117552443876e-08,-0.1492813114042869,1.9725572433422804,3.4131176107621286e-05,1.9448769416410992e-06,True
AE4_carrier,ae4.carrier_amount_fmol,0.1501264265070657,No justified physiological uncertainty interval; local analysis only.,1.2852658186866817e-06,0.0008113708124309176,2.847963453550923e-10,-0.07246091177894491,-0.010277580371958264,3.9581612772859514e-10,0.0008036938431432716,0.08494155063476387,3.0015135862798124e-08,-0.011047984228129692,-0.011570808500210984,9.007337076448368e-10,0.011047984226020269,0.24450683837561937,1.8953713432641695e-08,0.05053474743074715,0.33657320504879745,1.4626752463766807e-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.1950821712891626,-0.33657323039124093,6.140061813619007e-08,0.025267373715373576,0.8006267788601444,3.479352941524999e-08,0.021727041171537564,0.023387287377725084,6.445110140146868e-07,-22.121339026739406,-0.06396804772364947,6.580768144472702e-08,0.0,0.0,0.0,0.16684741528695524,0.08036937483757531,2.2757518536309362e-05,4.4693033533355176e-08,True
NKCC_scale,nkcc1.alpha_eff_fmol_s,0.017334746894096052,No justified physiological uncertainty interval; local analysis only.,8.769531391339402e-05,0.05536085770101728,2.20164480678617e-09,-0.0015580217203471358,-0.0002209838311868577,4.150904331208533e-11,-0.014132752034434759,-1.4936755865224425,6.606732700370791e-08,-0.001739288087332369,-0.0018215964984797978,5.732417451350991e-11,0.0017392880793110077,0.03849279837811001,1.033045949793642e-09,-0.0076126700755685395,-0.05070215834806424,3.6176829497487034e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.029387622606291686,0.05070215801246688,6.452214129365496e-10,-0.0038063350377842697,-0.12060825137159173,8.605598436080611e-10,0.05949549360850792,0.06404177152867761,2.4181268230427785e-07,65.75643198141279,0.19014719561232257,1.114218284668189e-07,67.56833534689122,0.14691450271807416,1.3141724213898558e-07,0.0035874775878322533,-1.413275183953279,6.04408967319614e-05,7.243534676277884e-08,True
NHE_carrier,parameters.homeostasis.nhe1_cha_carrier_amount_fmol,2.339370005697548e-05,No justified physiological uncertainty interval; local analysis only.,-5.165745026181057e-06,-0.003261064503361889,9.554811298142486e-11,0.070838072038571,0.01004740291062837,1.439274111807511e-10,-0.0021694030879482185,-0.2292819135225316,1.4227268269602315e-08,-0.018650650226437193,-0.01953325581557737,5.035341536120784e-10,0.018650650329569973,0.4127641253317618,1.3097508471677574e-08,0.0017170373256547578,0.011435869085444705,2.8200180581715114e-10,0.08202591291242567,1.0000000416666266,1.2500004891729204e-07,0.041012956456212835,0.942545885342772,1.1781827686554865e-07,0.5396833348502161,0.9311100148132595,1.1376861535531249e-07,-0.040154437793385456,-1.272341104762218,1.6311390750555195e-07,0.0071337865038545445,0.007678906379371311,2.5760981408269323e-07,-5.093086146814585,-0.014727624639100075,1.4905506541789485e-07,-12.615820832365898,-0.027430704551945607,5.7474430072143504e-08,-0.1631106886924519,-0.21694031399143868,5.1546010126912734e-05,6.300363337234206e-08,True
pump_capacity,parameters.membranes.nak_capacity_fmol_s,0.08,No justified physiological uncertainty interval; local analysis only.,0.0008331089484836952,0.5259303363917335,1.5526691559054152e-07,0.12061259435444871,0.017107234980488863,5.97383790100377e-09,0.04384316650807296,4.633737809124885,3.2269673863063187e-06,0.014939104774347456,0.01564606872522889,4.951215693807347e-09,-0.01493910476830368,-0.3306226004973091,1.044624909896874e-07,0.029911336103166652,0.19921647522491165,1.8776421514322197e-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.11546844524601418,-0.19921650127165727,2.65904584101405e-07,0.014955668051583326,0.47388812437421524,4.466459495298378e-07,-0.25395664654859207,-0.27336244394362536,2.6332972692064474e-07,-526.4038939591842,-1.5221967065372206,1.851172612858099e-06,-339.5220678421538,-0.7382262046675868,2.166516508184058e-06,-0.2777207617878914,4.384315604361766,0.0009964156788555556,5.229586642844779e-07,True
CaCC_conductance,parameters.membranes.g_cl_apical_S,3.14e-08,No justified physiological uncertainty interval; local analysis only.,5.143411113120097e-05,0.03246965408122938,3.8224036287060416e-09,-0.005523898814953909,-0.0007834888682316573,6.059438492598799e-11,-0.0020925307502306367,-0.22115735760816382,1.0050024967352068e-08,-0.0002968273420389522,-0.00031087411616813755,8.546301879803201e-12,0.0002968273238521113,0.006569190271619298,6.38455260334037e-10,-0.0007891187132902377,-0.005255714691362643,1.8541318337240417e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0030462797991903656,0.005255714686347867,1.7037982686865398e-10,-0.0003945593566451189,-0.012502082342958767,4.4105340988190356e-10,0.01026259919800765,0.011046803602537228,5.26854786301303e-07,2.861180777529171,0.008273646920818948,3.133247089214747e-08,-5.374115795632406,-0.01168499335689211,2.3709083793102426e-08,0.012719247066520348,-0.20925306798623144,1.090418777494051e-05,2.1837939645577872e-07,True
buffer_pool,parameters.geometry.cell_buffer_total_fmol,30.0,No justified physiological uncertainty interval; local analysis only.,-2.4946971211893543e-06,-0.001574868327282508,1.0403519465026201e-11,0.001395659118371917,0.0001979552089412629,1.1337826701328315e-12,-0.0019520434698661049,-0.20630940581603238,4.1068403252460293e-10,0.0003026345393175589,0.000316956127713974,4.185943777862793e-12,-0.0003026345350154447,-0.006697711711574117,2.4954655394896216e-11,-0.00011802804344984708,-0.0007860942992540534,8.318637339738972e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.00045563036188411843,0.000786094299393248,8.523779983873076e-12,-5.901402172492354e-05,-0.001869929445514973,1.9788039326705545e-11,0.008829121374454019,0.009503788263064193,1.0740590441786958e-07,106.70418800538073,0.3085553990375931,2.031047796882696e-07,184.73261134391805,0.40166595184073417,2.005564645611147e-07,-0.0032136238808643885,-0.19520434175244653,9.223913366440684e-05,6.104805193153012e-06,True
water_apical,parameters.water.apical_hydraulic_pL_s_mOsm,0.00432,No justified physiological uncertainty interval; local analysis only.,3.373260071444506e-06,0.0021294931561359086,1.7685983090544543e-10,-8.316749502913865e-05,-1.1796162628908487e-05,5.668913350664157e-13,-3.366439238483565e-05,-0.003557953958140902,3.8134945877284556e-10,-1.510113589731077e-06,-1.5815767654569238e-06,1.0290445120579366e-11,1.510119508607577e-06,3.342098785309264e-05,2.0347642091223066e-11,-1.6126396579219104e-05,-0.00010740556267732175,1.7561567717226717e-12,0.0,0.0,0.0,0.0,0.0,0.0,6.225364490575203e-05,0.00010740556264621695,1.7239105585361279e-12,-8.063198289609552e-06,-0.0002554920248792179,4.17747496897117e-12,0.00020799829547613058,0.0002238922397196798,3.814709694942091e-07,-0.012932905292473151,-3.7397948738743276e-05,5.446516836131553e-09,-0.16216039153960082,-0.0003525869501046509,1.682717889010972e-08,0.00019150023427575108,-0.0033664391082848487,7.73908936935186e-06,1.3055343548949836e-07,True
AE4_tau,regulation.ae4_regulatory_model.tau_activation_s,30.0,No justified physiological uncertainty interval; local analysis only.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,True
AE4_gain,regulation.ae4_regulatory_model.gain.fully_activated_increment,0.25,No justified physiological uncertainty interval; local analysis only.,2.5705312032588135e-07,0.00016227413508112303,2.6214131283585757e-11,-0.014492182321059716,-0.0020555161202720582,5.826383165960383e-11,0.00016073874142819022,0.016988307252164547,2.7515830179148397e-09,-0.0022095969401947357,-0.0023141617990862775,1.019742414773797e-10,0.002209596935011382,0.048901369662681556,2.1791940761924597e-09,0.010106949716343072,0.06731464254290284,1.6665003470610406e-09,0.0,0.0,0.0,0.0,0.0,0.0,-0.03901643180093117,-0.06731464183938198,4.440027416318605e-10,0.005053474858171536,0.1601253594190085,3.964203878450011e-09,0.004345608192624084,0.004677672713440333,1.9281984761117766e-07,-4.424232081419177,-0.012793506242214007,8.895689845341618e-08,0.0,0.0,0.0,0.03336948297742395,0.01607387547914243,3.076294774473354e-05,4.646746517117339e-08,True
