time_s,q_pL_s,na_i_mM,k_i_mM,cl_i_mM,T_i_mM,A_i_mM,ph_i,hco3_i_mM,V_i_pL,V_l_pL,cl_l_mM,ph_l,osm_lumen_mOsm,N,H,E,B,J4,P,CaCC,paraCl,Va_V,Vb_V,charge_max_fmol,current_residual_A,max_amount_rhs,max_volume_rhs
0.0,0.0010776814707374822,11.504825605191392,116.97377381898451,60.57229665283094,5.685898476324307,14.194120217840048,6.9109830678074875,4.92311254096896,1.4533343925874602,0.10538840735368742,145.9239041626896,6.910236234841876,301.41542362959416,0.2246180790956952,0.018126014770037616,-0.0019869843454434683,0.10081428920480762,0.004933930166208064,0.04458903298618399,0.6126791038817435,0.14737859532269706,-0.027375559665677795,-0.08036574130031797,1.4210854715202004e-14,3.877409121342317e-26,0.30804102090524377,1.4641066137244252e-15
1e-06,0.0010776814707401606,11.504825747845725,116.97377371168282,60.5722965423985,5.685898615059509,14.19412036362472,6.910983069732083,4.923112664003693,1.4533343925874487,0.10538840735370081,145.92390708558258,6.910236226547325,301.41542930464,0.2246180745690936,0.018126014493211835,-0.00198698428899408,0.10081428833118353,0.004933933020121475,0.044589033645843816,0.6126790460020832,0.14737859616641097,-0.027375559883561832,-0.08036574130848428,1.1102230246251565e-16,3.2311742677852644e-26,0.30804095903153106,2.571671231846838e-08
1.0,0.0013894697245152216,11.64290853553769,116.86256803396915,60.46467812077806,5.821160604309756,14.335446824292513,6.9128823613064805,5.043165453706004,1.4535192461234396,0.10694734862257611,146.29363593245543,6.901363409376554,301.8408124046198,0.22034172161987914,0.017856083640953587,-0.0019322420784934312,0.0999737263133162,0.007720325032956624,0.04522070922791547,0.5786731264066659,0.14772088267880276,-0.027275575535620294,-0.08033022751502163,1.1102230246251565e-16,1.9387045606711586e-25,0.22768166571046414,0.0014594435887616123
2.0,0.0016375671911235817,11.772792727525792,116.74321988483514,60.360499026231174,5.949834080222599,14.468533804837906,6.91473260832174,5.157556605529953,1.4540166447051066,0.10818783595561791,146.41914808098917,6.891434303606051,301.8024872390474,0.2165459277496402,0.01759894938129257,-0.001880637957058845,0.09915479619442188,0.01037959725527067,0.04580322792485028,0.5531048859663672,0.1479227476217419,-0.027182823456809876,-0.08029246324107182,4.263256414560601e-14,7.625571271973224e-25,0.19702998521665385,0.0010417701998654979
3.0,0.0018131744192260964,11.896648830139826,116.63108824804189,60.26591457480415,6.07305653238504,14.595890789808806,6.91653462724756,5.26725943466356,1.454586917871547,0.10906587209613049,146.5323900059437,6.8806878309311665,301.7713418645174,0.21291380312034916,0.017352920643917438,-0.0018318926626621477,0.09834901478383942,0.012933017772278302,0.04634832779216238,0.5323821859721686,0.14806552545410098,-0.027114294120097086,-0.08025837511432758,4.263256414560601e-14,2.177811456487268e-24,0.19001680732970183,0.0007293477262938232
4.0,0.0019345239315410852,12.014907030500893,116.52536268824127,60.17922899123624,6.19111568959861,14.717923133545527,6.918289368775347,5.372512867660363,1.455205545598896,0.10967261965770543,146.6352398801364,6.869327716178402,301.7455325783375,0.20944751566128703,0.01711734538915776,-0.0017857753990100555,0.09755736958046918,0.015385939685163483,0.04685941368563665,0.5152485538951125,0.1481660250673665,-0.027063119128009874,-0.0802272344356176,4.263256414560601e-14,4.362085261510107e-24,0.1832459805787792,0.0006364752691951046
5.0,0.0020152783197108864,12.12794100043092,116.42538960562305,60.099168511196424,6.3042679783897135,14.834969082970664,6.9199979200578685,5.473529986591351,1.455854850121285,0.11007639159855444,146.72912302426977,6.857527736877632,301.72381298042677,0.2061450399782559,0.016891622944339015,-0.0017420879974463408,0.09678070156386546,0.01774307102829588,0.04733942495034424,0.5008674115154168,0.14823520523475955,-0.027024820843688784,-0.0801985293814897,1.4210854715202004e-14,7.224905662767851e-24,0.17670897201292451,0.0006599713373966992
6.0,0.0020657627640906367,12.23608226213573,116.3306287734215,60.02474759578034,6.41274662718562,14.947320212709565,6.921661455046451,5.5705048737025304,1.456521725039129,0.11032881382045319,146.8151574749071,6.845437136744063,301.70531531059623,0.20300192047622426,0.016675196726895592,-0.001700656841975376,0.09601971160264566,0.02000867941441943,0.04779094227352512,0.4886549667050779,0.1482805560592745,-0.026996339686832075,-0.08017188442919006,7.105427357601002e-14,1.086967023682963e-23,0.17039791794532344,0.0006721424919578847
7.0,0.002093820288029863,12.3396290319721,116.24062344421775,59.95518476980177,6.516766597450762,15.05523370213128,6.923281200980334,5.663616745936099,1.4571962683278366,0.11046910144014932,146.89424002746222,6.833184215831857,301.68941185795006,0.2000123529344453,0.016467549237751226,-0.0016613276416892694,0.09527497071269804,0.02218670774777229,0.0482162559287233,0.4781882144568536,0.14830739249323566,-0.02697550427968963,-0.08014701376864523,1.9895196601282805e-13,1.516066966444846e-23,0.164305402809292,0.0006756899348245712
8.0,0.0021054240083219324,12.438852212111339,116.154980666955,59.88984795827749,6.616527845803021,15.158940310823311,6.92485841501854,5.753032668918048,1.4578708968227465,0.11052712004160967,146.96710475928006,6.820878941963884,301.6756340972103,0.1971698365546858,0.016268198181722204,-0.0016239618429367852,0.09454693100992868,0.02428084413807699,0.04861741378069099,0.46915105557046805,0.14831960378098719,-0.026960724945973975,-0.08012369319553157,3.979039320256561e-13,2.0194839173657902e-23,0.15842433376836237,0.0006725969937476303
