calcium_uM,changes_increase_to_decrease,original_5pct_pL,original_change_percent,original_ratio,original_reproduction_absolute_ratio_error,original_valid,original_wt_pL,root_id,routing_family,routing_only_5pct_pL,routing_only_change_percent,routing_only_ratio,routing_only_valid,routing_only_wt_pL,saved_original_ratio
0.1,False,0.8570402021297288,15.09540065104833,1.1509540065104833,0.0,True,0.7446346224799579,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,0.8598768246285496,5.793875901558554,1.0579387590155855,True,0.8127850665275437,1.1509540065104833
0.25,False,1.0095092251638316,19.154460010856454,1.1915446001085646,0.0,True,0.847227392975347,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,1.0143405847929745,7.5133666022989765,1.0751336660229898,True,0.9434553273223282,1.1915446001085646
0.5,False,1.0523789533866972,20.2402859067373,1.202402859067373,0.0,True,0.8752299160390887,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,1.0578544350966086,8.03613197330657,1.0803613197330657,True,0.979167261706465,1.202402859067373
0.1,False,0.9897637110199196,9.207377516382142,1.0920737751638214,0.0,True,0.9063157943440641,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,0.9907175686152916,4.0161795230602815,1.0401617952306028,True,0.9524648695596925,1.0920737751638214
0.25,False,1.2090616109782286,16.244272762025336,1.1624427276202534,0.0,True,1.0401042410522996,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,1.2131884635686085,5.7029574578919995,1.05702957457892,True,1.147733698985571,1.1624427276202534
0.5,False,1.2775439798341002,18.40010802406804,1.1840010802406804,0.0,True,1.0790057552771866,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,1.2827859880858572,6.247827075052492,1.062478270750525,True,1.207352680426781,1.1840010802406804
0.1,False,0.8417683443817963,14.052129973248228,1.1405212997324823,0.0,True,0.7380557860508516,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0.8443597205683593,5.399768952754069,1.0539976895275407,True,0.8011020602396647,1.1405212997324823
0.25,False,0.9903269620761913,17.99146304033774,1.1799146304033774,0.0,True,0.8393208597961263,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0.9947816964670733,7.033617958317295,1.070336179583173,True,0.9294105118024476,1.1799146304033774
0.5,False,1.034394957049368,19.197945509917936,1.1919794550991794,0.0,True,0.8677959612678899,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,1.039517210385378,7.58964288768551,1.075896428876855,True,0.9661870626994701,1.1919794550991794
0.1,False,0.9609500186890377,8.228691712173974,1.0822869171217397,0.0,True,0.8878884180219158,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,0.9617119080802062,3.4883112712531306,1.0348831127125313,True,0.9292951989132995,1.0822869171217397
