ae4_expression,ae4_parameters_sha256,architecture,calcium_uM,conservation_ratio,endpoint_ae4_cl_source_fmol_s,endpoint_ae4_hco3_source_fmol_s,endpoint_ae4_k_source_fmol_s,endpoint_ae4_na_source_fmol_s,endpoint_cell_cl,endpoint_cell_k,endpoint_cell_na,endpoint_cell_ph,endpoint_flow_pL_s,exact_time_grid,initial_ae4_cl_source_fmol_s,initial_ae4_hco3_source_fmol_s,initial_ae4_k_source_fmol_s,initial_ae4_na_source_fmol_s,initial_cell_cl,initial_cell_k,initial_cell_na,initial_cell_ph,initial_core_sha256,initial_max_amount_rhs_fmol_s,initial_max_volume_rhs_pL_s,max_ae4_charge_residual_fmol_s,max_pointwise_anion_law_change_fmol_s,max_pointwise_chloride_law_change_fmol_s,max_pointwise_other_rhs_change,negative_net_cycle_samples,nonnegative_flow,opposing_cation_samples,positive_core,reference_opposing_cation_samples,root_id,routing_family,sample_count,solver,solver_message,solver_success,total_0_600_pL,trajectory_path,valid,wall_seconds,whole_cell_parameters_sha256
1.0,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,routing_only,0.5,0.00012789769243681803,0.004342011885045738,-0.008684023770091476,-0.003680009558370424,-0.0006620023266753142,52.864181873381526,106.81486916121119,19.21508376178064,6.847010813834845,0.0016295151970810414,True,0.00439891057169553,-0.00879782114339106,-0.003747757536069625,-0.0006511530356259051,51.727764048467556,107.07327379549376,18.603414600683543,6.840856842478318,1c1b9bfc1eba9d989fed33af0601e3b3b729146bd0b340a32a5337e4624a3ce8,0.06804431724113277,4.2283884726934673e-16,0.0,0.0,0.0,0.0,0,True,0,True,602,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,602,production_radau,The solver successfully reached the end of the integration interval.,True,0.979167261706465,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00_ca0.50_routing_only_e1.00_production_radau.npz,True,0.8736335970024811,3dee3b4d115b697613025c5e2a269ca668f01aab05d6602dd7d7b1d7dbc186b6
0.05,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,routing_only,0.5,3.064215547965432e-05,0.004838310649214917,-0.009676621298429834,-0.004154862498263774,-0.0006834481509511434,53.20250297185366,111.13558278373117,18.28108838503293,7.136481312305504,0.0016799214877953996,True,0.0036865252866615027,-0.007373050573323005,-0.0033557456867018306,-0.00033077959995967174,59.646508645460585,119.28007775814548,11.75757047393432,7.141960983204682,6c4355d12c29172db8124a380608c83fb9b9bc49bf99e546817f325c251d2612,0.004151974156821725,7.914675859144182e-17,1.734723475976807e-18,0.0,0.0,0.0,0,True,0,True,602,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,602,production_radau,The solver successfully reached the end of the integration interval.,True,1.0578544350966086,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00_ca0.50_routing_only_e0.05_production_radau.npz,True,0.9399054499990598,3dee3b4d115b697613025c5e2a269ca668f01aab05d6602dd7d7b1d7dbc186b6
1.0,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,original,0.1,1.4210854715202002e-05,0.00400075230850877,-0.00800150461701754,-0.2179065644894045,0.21390581218089572,53.52026190261467,112.57411327967357,19.213797978465095,7.036758697394226,0.0015020201767171172,True,0.0038049001740020627,-0.007609800348004125,-0.19286482783290362,0.18905992765890156,52.30555987274908,117.25346909672912,14.41423310273199,7.046777296541653,195fe83a7dd68d6b6e42e5d4ac033716c4e3be60cdc034b1b18e981b02d10710,3.7470027081099033e-16,1.2984405217686401e-15,0.0,0.0,0.0,0.0,0,True,602,True,602,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,602,production_radau,The solver successfully reached the end of the integration interval.,True,0.9063157943440641,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_ca0.10_original_e1.00_production_radau.npz,True,0.7801741260009294,f991d0148916efa3845cc8ee9de64371385aedaa78ce99ce59d835f1df66a7fd
1.0,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,routing_only,0.1,0.005275779813018744,0.0020126685320378535,-0.004025337064075707,-0.0018723042409307224,-0.00014036429110713102,68.17398290586526,126.09406753030837,9.453113449611275,7.104054704715598,0.0016359189926593437,True,0.0038049001740020627,-0.007609800348004125,-0.0033883612876652452,-0.0004165388863368173,52.30555987274908,117.25346909672912,14.41423310273199,7.046777296541653,195fe83a7dd68d6b6e42e5d4ac033716c4e3be60cdc034b1b18e981b02d10710,0.18947646654523875,1.2984405217686401e-15,0.0,0.0,0.0,0.0,321,True,0,True,602,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,602,production_radau,The solver successfully reached the end of the integration interval.,True,0.9524648695596925,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_ca0.10_routing_only_e1.00_production_radau.npz,True,0.8620425520020945,f991d0148916efa3845cc8ee9de64371385aedaa78ce99ce59d835f1df66a7fd
0.05,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,original,0.1,0.0003055333763768431,0.0036497715643266067,-0.007299543128653213,-0.01719283018301019,0.013543058618683582,68.3132372980634,128.26244965498668,9.591950595342986,7.333214340902685,0.0016565705526395025,True,0.0031944614131263274,-0.006388922826252655,-0.014501346756346576,0.011306885343220248,65.50814090378012,129.32854370966916,8.185516160959963,7.343280413500073,df90d2d5780a45154aeeed08b595adb4554aeebd6489000b68ff6dbfd53f9c99,3.7643499428696714e-16,2.7625471354930653e-16,2.6020852139652106e-18,0.0,0.0,0.0,0,True,602,True,602,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,602,production_radau,The solver successfully reached the end of the integration interval.,True,0.9897637110199196,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_ca0.10_original_e0.05_production_radau.npz,True,0.9267039939986716,f991d0148916efa3845cc8ee9de64371385aedaa78ce99ce59d835f1df66a7fd
0.05,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,routing_only,0.1,0.0002806643806252396,0.003515114957931029,-0.007030229915862058,-0.003279551092254541,-0.0002355638656764879,69.19915064268447,128.75206181445282,9.248013688965159,7.33253807459774,0.0016614736212574644,True,0.0031944614131263274,-0.006388922826252655,-0.0030043112892240266,-0.00019015012390230092,65.50814090378012,129.32854370966916,8.185516160959963,7.343280413500073,df90d2d5780a45154aeeed08b595adb4554aeebd6489000b68ff6dbfd53f9c99,0.011497035467122607,2.7625471354930653e-16,8.673617379884035e-19,0.0,0.0,0.0,0,True,0,True,602,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,602,production_radau,The solver successfully reached the end of the integration interval.,True,0.9907175686152916,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_ca0.10_routing_only_e0.05_production_radau.npz,True,0.8239174609989277,f991d0148916efa3845cc8ee9de64371385aedaa78ce99ce59d835f1df66a7fd
1.0,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,original,0.25,0.006490807891168515,0.004099599619553529,-0.008199199239107058,-0.2082688077043492,0.20416920808479566,49.925920255289824,110.11089042994817,20.80422329015892,7.02652403037197,0.001696586365706798,True,0.0038049001740020627,-0.007609800348004125,-0.19286482783290362,0.18905992765890156,52.30555987274908,117.25346909672912,14.41423310273199,7.046777296541653,195fe83a7dd68d6b6e42e5d4ac033716c4e3be60cdc034b1b18e981b02d10710,3.7470027081099033e-16,1.2984405217686401e-15,0.0,0.0,0.0,0.0,0,True,602,True,602,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,602,production_radau,The solver successfully reached the end of the integration interval.,True,1.0401042410522996,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_ca0.25_original_e1.00_production_radau.npz,True,0.9244599499979813,f991d0148916efa3845cc8ee9de64371385aedaa78ce99ce59d835f1df66a7fd
0.05,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,original,0.25,0.0013358203432289883,0.004387766591343434,-0.008775533182686868,-0.017189590511922894,0.012801823920579462,62.02030277549451,126.40746466196525,10.459410739850039,7.345236024704725,0.0019829372857724016,True,0.0031944614131263274,-0.006388922826252655,-0.014501346756346576,0.011306885343220248,65.50814090378012,129.32854370966916,8.185516160959963,7.343280413500073,df90d2d5780a45154aeeed08b595adb4554aeebd6489000b68ff6dbfd53f9c99,3.7643499428696714e-16,2.7625471354930653e-16,1.734723475976807e-18,0.0,0.0,0.0,0,True,602,True,602,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,602,production_radau,The solver successfully reached the end of the integration interval.,True,1.2090616109782286,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_ca0.25_original_e0.05_production_radau.npz,True,0.851739200999873,f991d0148916efa3845cc8ee9de64371385aedaa78ce99ce59d835f1df66a7fd
1.0,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,routing_only,0.25,0.004050093593832571,0.0028797294220095915,-0.005759458844019183,-0.002659817634638982,-0.00021991178737060913,62.42565815591303,123.99650156877507,10.251940558846997,7.092386279755331,0.0019612259581095804,True,0.0038049001740020627,-0.007609800348004125,-0.0033883612876652452,-0.0004165388863368173,52.30555987274908,117.25346909672912,14.41423310273199,7.046777296541653,195fe83a7dd68d6b6e42e5d4ac033716c4e3be60cdc034b1b18e981b02d10710,0.18947646654523875,1.2984405217686401e-15,0.0,0.0,0.0,0.0,180,True,0,True,602,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,602,production_radau,The solver successfully reached the end of the integration interval.,True,1.147733698985571,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_ca0.25_routing_only_e1.00_production_radau.npz,True,0.9735767890015268,f991d0148916efa3845cc8ee9de64371385aedaa78ce99ce59d835f1df66a7fd
0.05,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,routing_only,0.25,0.0011404210908949608,0.0042775689494326035,-0.008555137898865207,-0.003961994661922909,-0.0003155742875096944,62.75228393120065,126.8839254680743,10.106349905223528,7.344927293541107,0.001994408232346004,True,0.0031944614131263274,-0.006388922826252655,-0.0030043112892240266,-0.00019015012390230092,65.50814090378012,129.32854370966916,8.185516160959963,7.343280413500073,df90d2d5780a45154aeeed08b595adb4554aeebd6489000b68ff6dbfd53f9c99,0.011497035467122607,2.7625471354930653e-16,1.734723475976807e-18,0.0,0.0,0.0,0,True,0,True,602,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,602,production_radau,The solver successfully reached the end of the integration interval.,True,1.2131884635686085,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_ca0.25_routing_only_e0.05_production_radau.npz,True,1.0536512970029435,f991d0148916efa3845cc8ee9de64371385aedaa78ce99ce59d835f1df66a7fd
