time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_cl_source_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,co3_i_mM,ae4_hco3_cell_source_fmol_s,ae4_co3_cell_source_fmol_s,source_signature_residual_fmol_s,ae4_charge_residual_fmol_s,cell_balance_residual_fmol_s,cumulative_outflow_0_t_pL
0.0,0.0010734206694912958,11.83519827490793,115.94305073283248,60.11827159486513,5.9006043180187255,4.985943117245966,6.837303613237389,1.4406179648311932,301.414420065249,-0.03157731878308414,-0.06705228930862453,-0.03547497052554039,0.0,0.0,0.0,1.0,0.01132897383046896,0.2537975530620149,0.0003318312974870522,-0.0019442780690129208,0.25848990094274177,0.10195155022016676,0.12689877653100745,1.0,4959446.7747130385,0.0,0.046075916787158694,0.0,-0.0003318312974870522,0.0003318312974870522,-0.0003318312974870522,-0.0006636625949741044,0.0017181098700216734,0.0,-0.0003318312974870522,0.0,0.0,0.0,0.0
1e-06,0.0010734206694912958,11.83519827490793,115.94305073283248,60.11827159486513,5.9006043180187255,4.985943117245966,6.837303613237389,1.4406179648311932,301.414420065249,-0.02753599808235229,-0.0801886655382837,-0.05265266745593141,1.0,0.10014500922652812,9.662524475382031e-12,2.3,0.026056639810078604,0.444145717858526,0.0003318312974870522,-0.0019442780690129208,0.6089353872950836,0.14646012098672356,0.222072858929263,1.75,4959446.7747130385,0.20029001845305625,0.046075916787158694,0.0,-0.0003318312974870522,0.0003318312974870522,-0.0003318312974870522,-0.0006636625949741044,0.0017181098700216734,0.0,-0.0003318312974870522,0.0,0.0,2.7755575615628914e-17,1.0734206694912958e-09
1.0,0.0013827619546992798,11.976522840432024,115.83340344829047,60.0033726981872,6.0421611982052505,5.110505805163935,6.840035462216039,1.4408417724502447,301.8370927930727,-0.027437286791015984,-0.0801523885565785,-0.052715101765562516,1.0,0.09925309429779464,9.576467767260394e-12,2.3,0.025619675552210234,0.4359930732749968,0.00047583043823602527,-0.0018875672769772536,0.5745947966424282,0.14679658338722762,0.2179965366374984,1.75,4994774.52905719,0.19850618859558927,0.04669207207659861,0.0,-0.00047583043823602527,0.00047583043823602527,-0.00047583043823602527,-0.0009516608764720505,0.0017721453853180623,0.0,-0.00047583043823602527,0.0,0.0,2.7755575615628914e-17,0.0012280911574246449
5.0,0.0019999143229966323,12.480730366156363,115.39873709816489,59.58930936146587,6.582207310526034,5.587879817444931,6.85058561253964,1.443524116789126,301.72035543205243,-0.027204283211514208,-0.08001511913223155,-0.05281083592071735,1.0,0.09565349930954196,9.229159649321346e-12,2.3,0.024009086979683344,0.40916096029419474,0.0010260090879104483,-0.001677635339689318,0.49601618044690765,0.14724949954725391,0.20458048014709737,1.75,5114200.622848169,0.19130699861908393,0.04878363958627953,0.0,-0.0010260090879104483,0.0010260090879104483,-0.0010260090879104483,-0.0020520181758208965,0.0019853298363880947,0.0,-0.0010260090879104483,0.0,0.0,2.7755575615628914e-17,0.008270497328741888
10.0,0.002074194064643603,13.013635314354474,114.96428531306739,59.161878391322325,7.212718544823244,6.1490370433987565,6.86291415954649,1.4476557559735814,301.65006446982443,-0.02716392514226552,-0.07988403484868077,-0.05272010970641525,1.0,0.09105792490161561,8.7857541262904e-12,2.3,0.02225238466916198,0.3827827625252346,0.001664893941080576,-0.0014455572692388037,0.448848798356289,0.1471845351637469,0.1913913812626173,1.75,5236552.775309316,0.18211584980323123,0.05081987952216674,0.0,-0.001664893941080576,0.001664893941080576,-0.001664893941080576,-0.003329787882161152,0.0022476116210361054,0.0,-0.001664893941080576,0.0,0.0,2.7755575615628914e-17,0.01860128712461719
15.0,0.001971513802586733,13.463918613689437,114.61122539092305,58.77878374514091,7.799456590422892,6.674667939555975,6.874326914260584,1.451791985672814,301.61325144781233,-0.027225395635201884,-0.07977437443674122,-0.05254897880153934,1.0,0.08644854034073407,8.341016126064945e-12,2.3,0.020730999438256462,0.3630690847326612,0.002250424381317336,-0.0012402608850873864,0.42427893403402933,0.14685328531191236,0.1815345423663306,1.75,5331382.283077679,0.17289708068146814,0.052407289506673324,0.0,-0.002250424381317336,0.002250424381317336,-0.002250424381317336,-0.004500848762634672,0.002504704978265541,0.0,-0.002250424381317336,0.0,0.0,2.7755575615628914e-17,0.028734254080871567
20.0,0.0018648889598750192,13.850087820183576,114.31608599350605,58.41844705402308,8.346216604341024,7.16731388431195,6.884894857089081,1.455622653701892,301.59213888028756,-0.02732970324480232,-0.0796766509261454,-0.05234694768134308,1.0,0.08190581773680015,7.90271002689535e-12,2.3,0.019403189714808488,0.3485219651175711,0.0027840736658836344,-0.0010570928930704075,0.4102782580207426,0.1464037476982051,0.17426098255878555,1.75,5403310.058336765,0.1638116354736003,0.05367638861270442,0.0,-0.0027840736658836344,0.0027840736658836344,-0.0027840736658836344,-0.005568147331767269,0.0027558227524119884,0.0,-0.0027840736658836344,0.0,0.0,2.7755575615628914e-17,0.03831578107892942
25.0,0.0017868541994256332,14.185295094781768,114.06437398011877,58.072924876958254,8.855892467273602,7.628932939580751,6.894696836509264,1.4590563639458196,301.5792546560832,-0.027452914288124127,-0.07958678035494007,-0.05213386606681594,1.0,0.07748970015991588,7.476619455808701e-12,2.3,0.01823604821848693,0.33792816503662004,0.0032684617250253994,-0.0008927340037842586,0.4017925530091968,0.14589918526226528,0.16896408251831002,1.75,5456771.851471654,0.15497940031983176,0.054712267901586224,0.0,-0.0032684617250253994,0.0032684617250253994,-0.0032684617250253994,-0.006536923450050799,0.0030002720337522406,0.0,-0.0032684617250253994,0.0,0.0,2.7755575615628914e-17,0.047433200539926695
30.0,0.0017351686129715273,14.479249374241764,113.84643109222563,57.73955935595449,9.33097130974338,8.06126773652323,6.903809793916607,1.462087005152181,301.57092001489957,-0.027583495171541867,-0.07950293042159244,-0.05191943525005058,1.0,0.0732419563363959,7.066774482235697e-12,2.3,0.017203344154977644,0.33035458612616525,0.0037069704419887004,-0.0007446271322445107,0.39633535579526974,0.1453727072692959,0.16517729306308263,1.75,5495565.634572292,0.1464839126727918,0.055572687826193796,0.0,-0.0037069704419887004,0.0037069704419887004,-0.0037069704419887004,-0.007413940883977401,0.003237525064875386,0.0,-0.0037069704419887004,0.0,0.0,4.163336342344337e-17,0.056229312664958585
35.0,0.0017017902681300046,14.739304989119809,113.65549738601237,57.41784962012406,9.773717624004206,8.465967354304414,6.912304738987566,1.464743207356654,301.5651875899421,-0.027715434111684183,-0.07942429375631187,-0.05170885964462768,1.0,0.06918941028224528,6.675763230269379e-12,2.3,0.01628399600686308,0.3250888820696633,0.004103338486775951,-0.0006107150631297258,0.3925916701703945,0.1448433987560446,0.16254444103483165,1.75,5522825.220202847,0.13837882056449055,0.056298105705496496,0.0,-0.004103338486775951,0.004103338486775951,-0.004103338486775951,-0.008206676973551902,0.0034672194356702222,0.0,-0.004103338486775951,0.0,0.0,4.163336342344337e-17,0.06481591359463844
40.0,0.0016799192688984723,14.971147071166607,113.48665808576455,57.10810367688745,10.186248677983428,8.844627238641644,6.9202453952253205,1.4670661231212625,301.5609895540582,-0.02784548804223573,-0.07935051000840197,-0.05150502196616624,1.0,0.06534720282788567,6.305046567961553e-12,2.3,0.015460933462798641,0.3215858637125498,0.004461373781801578,-0.000489295939395491,0.38984196078436184,0.14432270550127155,0.1607929318562749,1.75,5541092.021094688,0.13069440565577134,0.056917620129668195,0.0,-0.004461373781801578,0.004461373781801578,-0.004461373781801578,-0.008922747563603155,0.0036891382383533082,0.0,-0.004461373781801578,0.0,0.0,2.7755575615628914e-17,0.07326665470196266
