time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_cl_source_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,co3_i_mM,ae4_hco3_cell_source_fmol_s,ae4_co3_cell_source_fmol_s,source_signature_residual_fmol_s,ae4_charge_residual_fmol_s,cell_balance_residual_fmol_s
0.0,0.0010734206694912958,11.83519827490793,115.94305073283248,60.11827159486513,5.9006043180187255,4.985943117245966,6.837303613237389,1.4406179648311932,301.414420065249,-0.03157731878308414,-0.06705228930862453,-0.03547497052554039,0.0,0.0,0.0,1.0,0.01132897383046896,0.2537975530620149,0.006636625949741043,-0.0019442780690129208,0.25848990094274177,0.10195155022016676,0.12689877653100745,1.0,4959446.7747130385,0.0,0.046075916787158694,0.0,-0.006636625949741043,0.006636625949741043,-0.006636625949741043,-0.013273251899482086,0.0017181098700216734,0.0,-0.006636625949741043,0.0,0.0,4.336808689942018e-19
1e-06,0.0010734206694912958,11.83519827490793,115.94305073283248,60.11827159486513,5.9006043180187255,4.985943117245966,6.837303613237389,1.4406179648311932,301.414420065249,-0.02753599808235229,-0.0801886655382837,-0.05265266745593141,1.0,0.10014500922652812,9.662524475382031e-12,2.3,0.026056639810078604,0.444145717858526,0.006636625949741043,-0.0019442780690129208,0.6089353872950836,0.14646012098672356,0.222072858929263,1.75,4959446.7747130385,0.20029001845305625,0.046075916787158694,0.0,-0.006636625949741043,0.006636625949741043,-0.006636625949741043,-0.013273251899482086,0.0017181098700216734,0.0,-0.006636625949741043,0.0,0.0,5.551115123125783e-17
1.0,0.001382815714821023,11.976707031932255,115.82992916688252,60.00954271675737,6.036985431188074,5.105307833937157,6.839581434160009,1.4408186451982399,301.83662267824434,-0.027434801364109387,-0.08015195196939609,-0.0527171506052867,1.0,0.09928419250981027,9.579468288575061e-12,2.3,0.025673306236421646,0.43577425284107896,0.009401645708631154,-0.0018899686983165193,0.5746426154653015,0.1468017887994321,0.21788712642053948,1.75,4995728.772909758,0.19856838501962054,0.046692864768436364,0.0,-0.009401645708631154,0.009401645708631154,-0.009401645708631154,-0.018803291417262308,0.0017684930929099704,0.0,-0.009401645708631154,0.0,0.0,2.7755575615628914e-17
5.0,0.002000599662742711,12.48234422108667,115.37145485685005,59.639015178925966,6.540345661570613,5.545297868170767,6.846934483503269,1.4433017225455038,301.7195557998487,-0.027184169123838885,-0.08001220765833336,-0.05282803853449448,1.0,0.09593160797712495,9.255993056478543e-12,2.3,0.02442735177440553,0.4074055355208995,0.019597983158262694,-0.0016964293341942749,0.4963628160064067,0.14729401398683797,0.20370276776044974,1.75,5122187.24839136,0.1918632159542499,0.048790068590233146,0.0,-0.019597983158262694,0.019597983158262694,-0.019597983158262694,-0.03919596631652539,0.0019537066868322997,0.0,-0.019597983158262694,0.0,0.0,5.551115123125783e-17
10.0,0.00207679292711358,13.018438635372918,114.88609399522662,59.300197857658155,7.094330693533432,6.026910850552279,6.85263572444079,1.4469617223001763,301.6490923346857,-0.02710726458355043,-0.07987699021585315,-0.05276972563230272,1.0,0.09192552098555364,8.869464422595174e-12,2.3,0.023391453105854883,0.37796999621030297,0.03073206329886638,-0.001496699981742681,0.4497422315702951,0.14731335388465913,0.18898499810515149,1.75,5259429.63658076,0.18385104197110727,0.05083744358329149,0.0,-0.03073206329886638,0.03073206329886638,-0.03073206329886638,-0.06146412659773276,0.002151446207525956,0.0,-0.03073206329886638,0.0,0.0,2.7755575615628914e-17
15.0,0.0019769721032321416,13.473571032930785,114.46197329546268,59.03381642307406,7.577834168131152,6.443150593772569,6.855109773007811,1.4503878387462503,301.6122841592392,-0.02711975154328103,-0.07976281342832013,-0.0526430618850391,1.0,0.08819925898902864,8.509934796294324e-12,2.3,0.022801928106084265,0.3542886553940503,0.04029808337817764,-0.0013327759736254175,0.4258251849744835,0.1470978009140061,0.17714432769702515,1.75,5374594.036893746,0.17639851797805728,0.05244003802567291,0.0,-0.04029808337817764,0.04029808337817764,-0.04029808337817764,-0.08059616675635528,0.0023131726838797276,0.0,-0.04029808337817764,0.0,0.0,2.7755575615628914e-17
20.0,0.0018737574651720935,13.866428303926739,114.07865763992196,58.809695888516565,8.001339549830853,6.80287685369888,6.8549537117720085,1.4532853056030637,301.59128092777354,-0.027165937242386733,-0.07966048648920585,-0.05249454924681911,1.0,0.08479330107291004,8.181309815570878e-12,2.3,0.022555699896547658,0.33513906564032575,0.04850094879164396,-0.001196757206133208,0.4125185236263589,0.14678738956430978,0.16756953282016288,1.75,5471002.080612748,0.16958660214582008,0.05372829831743744,0.0,-0.04850094879164396,0.04850094879164396,-0.04850094879164396,-0.09700189758328792,0.002441441492471278,0.0,-0.04850094879164396,0.0,0.0,1.3877787807814457e-17
25.0,0.0017993570542913229,14.210349390322117,113.72421740196378,58.61301249179215,8.37325862287328,7.113491163632958,6.852668772496481,1.4555807301134718,301.5785611361905,-0.027224628813918926,-0.07956590835876814,-0.05234127954484922,1.0,0.08171892420637081,7.884677542540796e-12,2.3,0.022577778483266822,0.3195126490237354,0.055524609605524536,-0.0010830060733512902,0.4047272336131506,0.14643806210448604,0.1597563245118677,1.75,5551953.232505052,0.16343784841274162,0.05478736249887285,0.0,-0.055524609605524536,0.055524609605524536,-0.055524609605524536,-0.11104921921104907,0.002539519598849732,0.0,-0.055524609605524536,0.0,0.0,5.551115123125783e-17
30.0,0.0017513037820708179,14.515209790281313,113.39116777797214,58.43561979019545,8.70056480554433,7.381331697069689,6.848673581212739,1.4572864185770191,301.57041452653834,-0.027286566549218152,-0.07947708742540306,-0.05219052087618491,1.0,0.07896896261377759,7.619346584962194e-12,2.3,0.02281214759439061,0.3066327849401426,0.06153193029362401,-0.0009873149948795698,0.3999405292172302,0.14607648331954895,0.1533163924700713,1.75,5620278.731860084,0.15793792522755518,0.05567503256148916,0.0,-0.06153193029362401,0.06153193029362401,-0.06153193029362401,-0.12306386058724803,0.002611008604304375,0.0,-0.06153193029362401,0.0,0.0,2.7755575615628914e-17
35.0,0.0017214148530903363,14.788502805141,113.07459850283801,58.27265796547535,8.989129678983513,7.611875365621794,6.843316984537768,1.4584487409152238,301.5648740778268,-0.027347615135121038,-0.07939301648833232,-0.05204540135321128,1.0,0.07652552368512945,7.383590568416643e-12,2.3,0.023215766276965737,0.29590911936190534,0.06666502061324667,-0.000906454631073391,0.3968292955195324,0.1457162599076682,0.14795455968095267,1.75,5678307.639734298,0.1530510473702589,0.05643177238945139,0.0,-0.06666502061324667,0.06666502061324667,-0.06666502061324667,-0.13333004122649333,0.0026595530231533944,0.0,-0.06666502061324667,0.0,0.0,2.7755575615628914e-17
