time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_cl_source_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,co3_i_mM,ae4_hco3_cell_source_fmol_s,ae4_co3_cell_source_fmol_s,source_signature_residual_fmol_s,ae4_charge_residual_fmol_s,cell_balance_residual_fmol_s
0.0,0.0010666529249706625,12.296932497134092,115.21109285448264,59.23722178394894,5.854480585499341,4.940562438637858,6.833672112563129,1.4247329638128798,301.4128260300704,-0.03191798832170395,-0.06718957686425062,-0.03527158854254667,0.0,0.0,0.0,1.0,0.011357053463876502,0.2522122067949724,0.0066446961532791865,-0.0019323388426822252,0.2569245641055565,0.10140873521048002,0.1261061033974862,1.0,4971419.932083832,0.0,0.04803595100488058,0.0066446961532791865,-0.013289392306558373,0.0066446961532791865,-0.0066446961532791865,-0.013289392306558373,0.0016882956629885562,0.0,-0.0066446961532791865,0.0,0.0,2.7755575615628914e-17
1e-06,0.0010666529249706625,12.296932497134092,115.21109285448264,59.23722178394894,5.854480585499341,4.940562438637858,6.833672112563129,1.4247329638128798,301.4128260300704,-0.027892970354268243,-0.08010963099685646,-0.05221666064258822,1.0,0.09989598010594956,9.638496817975457e-12,2.3,0.026121222966915953,0.4413713618912017,0.0066446961532791865,-0.0019323388426822252,0.6039564509679898,0.1453145593593951,0.22068568094560084,1.75,4971419.932083832,0.19979196021189913,0.04803595100488058,0.0066446961532791865,-0.013289392306558373,0.0066446961532791865,-0.0066446961532791865,-0.013289392306558373,0.0016882956629885562,0.0,-0.0066446961532791865,0.0,0.0,2.7755575615628914e-17
1.0,0.001372863402998184,12.44034358471898,115.09644662567995,59.12857930094228,5.991944090862578,5.060712237732378,6.8359653590193075,1.4249502189612653,301.83062118335613,-0.02778965140505225,-0.08007150168045893,-0.052281850275406674,1.0,0.09901632292365722,9.553622802590236e-12,2.3,0.025737584051535974,0.4334279129256261,0.009435400097202756,-0.0018770636256266557,0.569319147708561,0.14565644168232758,0.21671395646281305,1.75,5005980.797892285,0.19803264584731445,0.048618897342740025,0.009435400097202756,-0.018870800194405513,0.009435400097202756,-0.009435400097202756,-0.018870800194405513,0.0017385092356635734,0.0,-0.009435400097202756,0.0,0.0,5.551115123125783e-17
5.0,0.0019800883512592626,12.97156440930809,114.61454535973463,58.76226800876283,6.498625834155644,5.503022112947034,6.843354348147507,1.4275071641959518,301.71277946100946,-0.027535641986098064,-0.07992379648432123,-0.05238815449822316,1.0,0.09556996496936505,9.221099810765954e-12,2.3,0.02447820025611203,0.4048868238518858,0.0197230905572678,-0.0016805771107616843,0.49056394049610397,0.14613439137499634,0.2024434119259429,1.75,5133684.70016621,0.1911399299387301,0.05066386971588358,0.0197230905572678,-0.0394461811145356,0.0197230905572678,-0.0197230905572678,-0.0394461811145356,0.001922895159111195,0.0,-0.0197230905572678,0.0,0.0,5.551115123125783e-17
10.0,0.0020500339813268906,13.573074052252354,114.06524360015258,58.428242787405274,7.054849302568149,5.985921930324507,6.849044722051082,1.431205489339308,301.6418374589895,-0.027457494821571934,-0.07977292298039679,-0.05231542815882485,1.0,0.09140457849981484,8.819201113843246e-12,2.3,0.023406839298006174,0.3725523577251167,0.03094935685408362,-0.0014784953334034696,0.4438699378621759,0.14611414509762466,0.18627617886255834,1.75,5285391.978913778,0.18280915699962969,0.05277356419145511,0.03094935685408362,-0.06189871370816724,0.03094935685408362,-0.03094935685408362,-0.06189871370816724,0.0021192186653887584,0.0,-0.03094935685408362,0.0,0.0,2.7755575615628914e-17
15.0,0.0019477868754694734,14.121643407500601,113.54641436776457,58.16020010506275,7.538882712666873,6.401950810364634,6.851449339405174,1.4345336184044815,301.6043815038202,-0.027471325958348055,-0.0796374667198508,-0.052166140761502736,1.0,0.0874771323448482,8.440260167197875e-12,2.3,0.02276945689725604,0.3444232271574427,0.040586465059530966,-0.0013130268652215141,0.419865023372237,0.14583825447545762,0.17221161357872136,1.75,5423884.705667368,0.1749542646896964,0.05451957768419923,0.040586465059530966,-0.08117293011906193,0.040586465059530966,-0.040586465059530966,-0.08117293011906193,0.00227909103245492,0.0,-0.040586465059530966,0.0,0.0,2.7755575615628914e-17
20.0,0.0018432676857937091,14.628842492063912,113.04418149060585,57.92534154028714,7.961475932627055,6.760156765564052,6.85116869591383,1.4371609355729993,301.5824940354683,-0.02752205609974061,-0.07950917915578123,-0.05198712305604063,1.0,0.08383646353511987,8.08898902795231e-12,2.3,0.02246743260893625,0.32012279541742816,0.04884177799362702,-0.0011758724092691747,0.4063406490129889,0.1454473457678134,0.16006139770871408,1.75,5548752.885466156,0.16767292707023973,0.0559936848229001,0.04884177799362702,-0.09768355598725403,0.04884177799362702,-0.04884177799362702,-0.09768355598725403,0.0024050574954411147,0.0,-0.04884177799362702,0.0,0.0,4.163336342344337e-17
25.0,0.0017675103721899927,15.10281447492293,112.55166851225675,57.70796380073126,8.33120182037402,7.068055868955058,6.848706973041498,1.439001838840459,301.5686989211859,-0.027588916001078725,-0.07938482567377783,-0.051795909672699106,1.0,0.080503173262515,7.767375408947664e-12,2.3,0.022427888245380057,0.29911560210393384,0.0559011984327404,-0.001061173596389133,0.3981948811281367,0.14499830226311666,0.14955780105196692,1.75,5660845.818965809,0.16100634652503,0.05725831818529929,0.0559011984327404,-0.1118023968654808,0.0559011984327404,-0.0559011984327404,-0.1118023968654808,0.002500385356191925,0.0,-0.0559011984327404,0.0,0.0,1.3877787807814457e-17
30.0,0.0017176503097315666,15.549562829492979,112.06531029181171,57.49988216613086,8.65513637191123,7.332060548847901,6.844485290542126,1.4400688949530511,301.5593443674117,-0.027662824050008864,-0.07926315411576561,-0.05160033006575675,1.0,0.07747900626320796,7.475587651633181e-12,2.3,0.022595810293138847,0.28089808043927017,0.06192913694689124,-0.0009646015662793969,0.39293639681034276,0.14451909133905563,0.14044904021963509,1.75,5761337.153017864,0.15495801252641592,0.05835773661006828,0.06192913694689124,-0.12385827389378248,0.06192913694689124,-0.06192913694689124,-0.12385827389378248,0.0025686878606502807,0.0,-0.06192913694689124,0.0,0.0,5.551115123125783e-17
35.0,0.001685440705379404,15.973651016300378,111.58326491158317,57.2966204780566,8.93922214541687,7.557701189610539,6.838854638695411,1.4404156101635706,301.55251384495585,-0.027739649329279584,-0.0791437698214122,-0.051404120492132624,1.0,0.07475390030364237,7.212654898062303e-12,2.3,0.022928649350254654,0.26503933159932674,0.0670688973973752,-0.0008828628816652755,0.38925973552813514,0.14402479527819162,0.13251966579966337,1.75,5851419.978194418,0.14950780060728475,0.05932427138093166,0.0670688973973752,-0.1341377947947504,0.0670688973973752,-0.0670688973973752,-0.1341377947947504,0.0026136315007469573,0.0,-0.0670688973973752,0.0,0.0,2.7755575615628914e-17
