absolute_lost_ae4_chloride_loading_fmol_s,change_ae2_inward_cycle_flux_fmol_s,change_ae4_cl_flux_fmol_s,change_apical_chloride_cell_to_lumen_fmol_s,change_apical_k_cell_to_lumen_fmol_s,change_basolateral_k_cell_to_bath_fmol_s,change_cell_cl_mM,change_cell_hco3_mM,change_cell_k_mM,change_cell_na_mM,change_cell_ph,change_cell_tic_mM,change_cell_volume_pL,change_co2_apical_lumen_to_cell_fmol_s,change_co2_basolateral_bath_to_cell_fmol_s,change_nhe1_inward_na_flux_fmol_s,change_nkcc1_chloride_influx_fmol_s,change_nkcc1_chloride_loading_fmol_s,change_nkcc1_inward_cycle_flux_fmol_s,change_v_apical_mV,change_v_basolateral_mV,change_v_transepithelial_mV,lost_ae4_chloride_loading_fmol_s,nkcc1_replacement_fraction,nkcc1_replacement_percent,null_ae2_inward_cycle_flux_fmol_s,null_ae4_cl_flux_fmol_s,null_apical_chloride_cell_to_lumen_fmol_s,null_apical_k_cell_to_lumen_fmol_s,null_basolateral_k_cell_to_bath_fmol_s,null_cell_cl_mM,null_cell_hco3_mM,null_cell_k_mM,null_cell_na_mM,null_cell_ph,null_cell_tic_mM,null_cell_volume_pL,null_co2_apical_lumen_to_cell_fmol_s,null_co2_basolateral_bath_to_cell_fmol_s,null_nhe1_inward_na_flux_fmol_s,null_nkcc1_chloride_influx_fmol_s,null_nkcc1_inward_cycle_flux_fmol_s,null_resting_state_sha256,null_v_apical_mV,null_v_basolateral_mV,null_v_transepithelial_mV,numerical_pair_available,root_alias,root_id,routing_family,status,wt_ae2_inward_cycle_flux_fmol_s,wt_ae4_cl_flux_fmol_s,wt_apical_chloride_cell_to_lumen_fmol_s,wt_apical_k_cell_to_lumen_fmol_s,wt_basolateral_k_cell_to_bath_fmol_s,wt_cell_cl_mM,wt_cell_hco3_mM,wt_cell_k_mM,wt_cell_na_mM,wt_cell_ph,wt_cell_tic_mM,wt_cell_volume_pL,wt_co2_apical_lumen_to_cell_fmol_s,wt_co2_basolateral_bath_to_cell_fmol_s,wt_nhe1_inward_na_flux_fmol_s,wt_nkcc1_chloride_influx_fmol_s,wt_nkcc1_inward_cycle_flux_fmol_s,wt_resting_state_sha256,wt_v_apical_mV,wt_v_basolateral_mV,wt_v_transepithelial_mV
0.004543637549416404,0.005806391010964944,-0.004543637549416404,0.007590197891961581,0.002309927699078014,0.005184154378302358,-5.067996491083633,72.67001304772322,18.720997839889606,0.020545970705295957,1.1208964849689513,73.22148401239055,6.620169133107594,-0.00018059467842053477,-0.0031002894094476503,-0.003280884087868007,0.006327444430413054,0.006327444430413054,0.003163722215206527,-2.567081651023422,-3.372507387478578,-0.805425736455156,0.004543637549416404,1.3925944491821902,139.259444918219,0.003805204316836192,0.0,0.2638947712739567,0.04704123787878607,0.1722368707967054,55.85967495700843,77.58866911612293,135.80554982405573,11.494061039189404,8.010486434495691,78.94051799873138,8.07397565288099,-0.0009599697793283646,0.004765174096164249,0.003805204316836333,0.2600895669571204,0.1300447834785602,00509432fd50e21dbf5e6fbf07d4a34af2f3f274eddc5984eaeaa1b293afbd8b,-33.70002622559422,-68.58399828342382,-34.883972057829595,True,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,formal_contrast_from_closed_equilibrium,-0.0020011866941287526,0.004543637549416404,0.25630457338199514,0.04473131017970806,0.16705271641840305,60.92767144809206,4.9186560683997085,117.08455198416613,11.473515068484108,6.88958994952674,5.71903398634083,1.4538065197733951,-0.0007793751009078298,0.0078654635056119,0.00708608840470434,0.2537621225267073,0.12688106126335366,e6974ef18ba529af427e6cccb568e1cd2d132e3d32eda7cc5995337b4dcb9130,-31.1329445745708,-65.21149089594525,-34.07854632137444
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,unresolved_no_closed_null_rest,-0.0008595489051643058,0.003930022998732519,0.28146518249979935,0.05257693190736886,0.18023171569664614,67.1477228791764,8.94270429994151,127.84110149585189,7.882512261148529,7.149021356858596,9.74783839505019,1.6036487443659515,-0.0008579413957950366,0.007858438488095759,0.00700049709230102,0.27839470840623115,0.13919735420311558,,-29.38675559174471,-66.0560941253542,-36.6693385336095
0.004531169509135222,0.005784943218025106,-0.004531169509135222,0.007543047352789545,0.0016037096610528878,0.005845160974217167,-5.055377191159103,71.19468605555598,18.918251152845627,0.020740163542068757,1.1157647547910976,71.73064371395675,5.558474055472692,-0.0001779323949771905,-0.0030994634052671395,-0.0032773958002729974,0.006289273643908522,0.006289273643908522,0.003144636821954261,-2.6030416670852112,-3.5360358587563354,-0.9329941916711206,0.004531169509135222,1.3880022875394118,138.80022875394118,0.0038044764033712433,0.0,0.2702739001822057,0.036900803840491415,0.18769336691078475,54.807998514634534,76.07525720672248,134.9602406725336,11.729286705915921,8.001803383029522,77.41188528515924,7.004518040542565,-0.0009550686257930086,0.0047595450291638385,0.0038044764033709085,0.26646942377883454,0.13323471188941727,20d489522defe386a9e5433446c66561161205ca73591795931e36303c0cc769,-34.459891158042964,-72.00922128361331,-37.54933012557034,True,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,formal_contrast_from_closed_equilibrium,-0.001980466814653862,0.004531169509135222,0.26273085282941616,0.03529709417943853,0.1818482059365676,59.863375705793636,4.880571151166505,116.04198951968796,11.708546542373853,6.886038628238424,5.681241571202486,1.4460439850698736,-0.0007771362308158181,0.007859008434430978,0.007081872203643906,0.260180150134926,0.130090075067463,cd654899393c3b4a8e9f01428070c71e199a4207e0dac68e99e9d260225b1048,-31.856849490957753,-68.47318542485698,-36.61633593389922
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,R04,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,unresolved_no_closed_null_rest,-0.0008436400185416258,0.0039217710987091425,0.287666211328023,0.040854258496153574,0.19712428629254145,66.13605924355087,8.865885514537922,127.30912255382938,7.965992256414674,7.145050181793937,9.671321244780454,1.5855055733659442,-0.0008502783334674613,0.007850180512344169,0.006999902178876875,0.2845880802478554,0.1422940401239277,,-30.039273821039178,-69.6419579160804,-39.60268409504122
0.004548621924254023,0.005814633262411064,-0.004548621924254023,0.007538477768136043,0.0023174268099870887,0.0051358001390913455,-5.02976390954688,73.2229901602902,18.535367762082885,0.01817412815611341,1.1230792779804935,73.78010516289918,7.103446431769847,-0.00017778384459083308,-0.003104826741501994,-0.0032826105861937394,0.0062724664300269906,0.0062724664300269906,0.0031362332150134953,-2.5324258240242905,-3.3257179477554644,-0.7932921237311774,0.004548621924254023,1.3789817079720643,137.89817079720643,0.0038051387650603016,0.0,0.26103193348329845,0.04400974491234195,0.17288267652956438,56.268768440592645,78.1520272756888,136.1268703594069,11.422283833168096,8.013217347371981,79.51020262152565,8.556097519444922,-0.0009419785800837188,0.004747117345143353,0.0038051387650606863,0.2572267947182544,0.1286133973591272,0811bcb04676908dc25d3e34e7fcfd63caa7d5b13ce9308baf1cef3db146bdf7,-33.41814840117382,-68.57343776313431,-35.155289361960484,True,R05,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,formal_contrast_from_closed_equilibrium,-0.0020094944973507623,0.004548621924254023,0.2534934557151624,0.04169231810235486,0.16774687639047303,61.298532350139524,4.929037115398602,117.59150259732401,11.404109705011983,6.8901380693914875,5.730097458626478,1.4526510876750747,-0.0007641947354928857,0.007851944086645347,0.007087749351254426,0.2509543282882274,0.1254771641441137,e252945ce74f87fb1ba99762cbe64c287ad3679af52a341d7262346d2b5dcd9e,-30.885722577149533,-65.24771981537884,-34.36199723822931
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,R06,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,unresolved_no_closed_null_rest,-0.0008674022557531824,0.003934473185919829,0.27840382330762653,0.04935671877798735,0.18089936990035918,67.50464733509011,8.96117685949236,128.44942809484644,7.854235300485103,7.149517076787355,9.767068152405413,1.5983029500818409,-0.0008421559613233109,0.00784370007740988,0.0070015441160865164,0.27533675237745997,0.13766837618872999,,-29.152377590617625,-66.10675407559563,-36.954376484978006
0.004535716771216211,0.00579242397487971,-0.004535716771216211,0.007505382442324071,0.0016231700264860566,0.005796361836894748,-5.025540985752407,71.67587120017726,18.762190358933324,0.018905486803923566,1.1176965983951135,72.21664239492051,5.8645702494316945,-0.00017536869467665633,-0.0031036408728756333,-0.0032790095675609195,0.0062486752386622935,0.0062486752386622935,0.0031243376193311467,-2.5736810772336263,-3.4947842398135123,-0.9211031625798896,0.004535716771216211,1.3776599276031885,137.76599276031885,0.0038043506463823337,0.0,0.2676765407310453,0.03428541106880024,0.18814431443267357,55.16789768617526,76.56566110876679,135.25836242778445,11.664973599847212,8.004211100071487,77.90774071420212,7.30954041901498,-0.000938369514669034,0.004742720161051424,0.003804350646382449,0.2638721900846624,0.1319360950423312,162c897506f384ae04dafdf955fb0f48db2a7d495916fc814693c12633828033,-34.20687207770097,-72.02958582490142,-37.822713747200446,True,R07,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,formal_contrast_from_closed_equilibrium,-0.001988073328497376,0.004535716771216211,0.2601711582887212,0.03266224104231418,0.18234795259577882,60.193438671927666,4.88978990858953,116.49617206885112,11.646068113043288,6.886514501676373,5.691098319281615,1.444970169583286,-0.0007630008199923777,0.007846361033927057,0.007083360213943369,0.2576235148460001,0.12881175742300005,6e88bbf1ae5b95bda318358fd87ea175a80b7b1284689fba8b191d15f3456df7,-31.633191000467345,-68.5348015850879,-36.901610584620556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,R08,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,AE4NA20,unresolved_no_closed_null_rest,-0.0008508035801198049,0.003925805411768318,0.2848993632488609,0.038096367243323076,0.19757519486572367,66.45075064322893,8.881830326723287,127.85798384366808,7.941683253901751,7.145458222096073,9.687968520753781,1.5805341111315327,-0.0008356640665853632,0.007836471310001203,0.007000807243437295,0.2818243614172054,0.1409121807086027,,-29.829320390385238,-69.71833038890442,-39.88900999851918
0.004537824623978226,0.005796084203945281,-0.004537824623978226,0.0076061503229933325,0.002009186851928031,0.005495414368501567,-5.0533997507174675,71.92364976545142,18.753960868891753,0.02216421096841792,1.1184079862826666,72.4671710706489,6.042317238670343,-0.00017879628861432574,-0.0031007687553971644,-0.0032795650440112113,0.006347890743093554,0.006347890743093554,0.003173945371546777,-2.5818561862490803,-3.4469412534148205,-0.8650850671657437,0.004537824623978226,1.398884106175191,139.88841061751913,0.003804483573991736,0.0,0.2667968298521126,0.04118666763965415,0.18050994330810544,55.3455473800193,76.82191558235307,135.40022404750215,11.616456592544068,8.006000177949039,78.16615425702258,7.490234072308667,-0.0009530888886929989,0.004757572462684135,0.003804483573991684,0.2629923462781882,0.1314961731390941,4fa44a741e30251d118581478c336eac723349586f548a613a72be1c8147fcf7,-34.068184995018946,-70.50342983191094,-36.43524483689199,True,R09,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,AE4NA05,formal_contrast_from_closed_equilibrium,-0.0019916006299535442,0.004537824623978226,0.2591906795291193,0.03917748078772612,0.17501452893960387,60.398947130736765,4.89826581690165,116.6462631786104,11.59429238157565,6.887592191666372,5.698983186373674,1.447916833638324,-0.0007742926000786732,0.0078583412180813,0.007084048618002895,0.25664445553509463,0.12832222776754731,f5619e322faecfae1df765cc76502af496fbac1d7d5b6ced58f4c4b35978a6ea,-31.486328808769866,-67.05648857849611,-35.570159769726246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,R10,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,AE4NA20,unresolved_no_closed_null_rest,-0.000852153298875744,0.003926268277805123,0.2843630850743998,0.04597491813177524,0.18924969042568224,66.60711835432689,8.897781838168532,127.74128358355824,7.928091004072141,7.1466330301597285,9.703219913106578,1.5888148638451882,-0.0008506516486046434,0.007851034905339121,0.007000383256734584,0.28128897009547044,0.14064448504773522,,-29.724052188228757,-68.09202948180734,-38.36797729357859
