time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_na_branch_export_fmol_s,ae4_k_branch_export_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,ae2_positive_cl_loading_fmol_s,cacc_recruitment_factor,effective_cacc_conductance_S
0.0,0.0010776814707374822,11.504825605191392,116.97377381898451,60.57229665283094,5.685898476324307,4.92311254096896,6.9109830678074875,1.4533343925874602,301.41542362959416,-0.03992414757667965,-0.08185926574908314,-0.041935118172403495,1.0,0.10001629763168902,9.650105694406285e-12,2.3,0.018126014770037616,0.4492361581913904,0.0,-0.0019869843454434683,0.2729016169185404,0.11873418062428633,0.2246180790956952,1.75,4937608.164510875,0.20003259526337805,0.04458903298618399,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.1051187284328845,3.3007280727925737e-09
1e-06,0.0010776814707371713,11.504825748993882,116.97377394662065,60.572296772794104,5.6858986207510585,4.923112669018202,6.910983069789267,1.453334392587476,301.41542350889995,-0.0399241476943014,-0.08185926578438531,-0.041935118090083906,1.0,0.10001629666853963,9.650105601476496e-12,2.3,0.018126014486790114,0.44923613791333133,0.0,-0.0019869842948572044,0.27290161984160755,0.11873418039706818,0.22461806895666567,1.75,4937608.251173118,0.20003259333707926,0.044589033648708754,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.1051187284328845,3.3007280727925737e-09
1.0,0.0010690723499138161,11.626999397479754,116.91384741730505,60.591308728290095,5.820338540323852,5.042566634768045,6.912955819614793,1.4556341663865762,301.4539943388172,-0.04002527283655682,-0.08185480297866012,-0.0418295301421033,1.0,0.09914096515172094,9.565648949361141e-12,2.3,0.01785789017453853,0.436947226983033,0.0,-0.0019369417522708116,0.2745783275404741,0.11848287452465144,0.2184736134915165,1.75,4990617.309999121,0.19828193030344188,0.045147044878832365,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.1051187284328845,3.3007280727925737e-09
2.0,0.0010666693179795072,11.741965040878824,116.83859719445559,60.59580108606031,5.952267763724952,5.1599459928822595,6.9149104344358525,1.4580726104422341,301.4553082221415,-0.04011732856129454,-0.08184535159600832,-0.04172802303471378,1.0,0.09826658252226195,9.481283850957832e-12,2.3,0.017598791681552085,0.4262739054767264,0.0,-0.001887989784493883,0.27605779491556887,0.11823280340227775,0.2131369527383632,1.75,5037466.599966059,0.1965331650445239,0.045663277446724035,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.1051187284328845,3.3007280727925737e-09
3.0,0.0010669193743078982,11.851968283988471,116.7668891049696,60.59612462928728,6.082626078950025,5.276059435498602,6.916846726998238,1.460419231530586,301.4564318624403,-0.040201578034700626,-0.08183493695869083,-0.041633358923990206,1.0,0.09738488076812328,9.396212564378977e-12,2.3,0.017347212830951135,0.41637787929484665,0.0,-0.0018401008158714833,0.277382066507271,0.11799967406190942,0.20818893964742333,1.75,5081593.14827883,0.19476976153624656,0.04614920657900783,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.1051187284328845,3.3007280727925737e-09
4.0,0.0010691266267550293,11.957318725110476,116.69851094446709,60.59266203014847,6.211424555872683,5.3909116907168295,6.9187645573667504,1.4626799531741734,301.4573916830325,-0.04027862041086801,-0.08182365587981637,-0.04154503546894836,1.0,0.09649690072894919,9.310535515383333e-12,2.3,0.01710279187114194,0.40718877733854986,0.0,-0.001793247122582055,0.2785636384185357,0.11778222607185268,0.20359438866927493,1.75,5123174.940073572,0.19299380145789838,0.04660724909743805,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.1051187284328845,3.3007280727925737e-09
5.0,0.0010727393468914826,12.058297904471546,116.63326800679124,60.58575923221839,6.338674149912805,5.504507558458233,6.920663834473284,1.4648602041742511,301.4582006771585,-0.04034903647122011,-0.08181160058845197,-0.04146256411723186,1.0,0.09560364243594603,9.22434919231398e-12,2.3,0.01686519563873847,0.3986444561994876,0.0,-0.0017474019620775296,0.2796144542873073,0.11757923052719949,0.1993222280997438,1.75,5162375.165327674,0.19120728487189206,0.04703957540575272,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.1051187284328845,3.3007280727925737e-09
6.0,0.0010773222140581518,12.155162796666229,116.57098249814928,60.5757302810273,6.464385863591889,5.616852047607426,6.922544511042924,1.4669649512861145,301.45887163000197,-0.0404133825088986,-0.08179885850992553,-0.04138547600102693,1.0,0.09470606376529539,9.137746016172424e-12,2.3,0.01663411599357338,0.3906897681765631,0.0,-0.001702539495731535,0.2805458216566866,0.117389508269199,0.19534488408828155,1.75,5199344.0182250235,0.18941212753059078,0.04744814010357952,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.1051187284328845,3.3007280727925737e-09
7.0,0.0010825343206265132,12.24814864101506,116.51149152942274,60.562860717210455,6.588570806315107,5.727950424624174,6.924406578921192,1.468998747059886,301.45941692086274,-0.04047218613776921,-0.08178551190650674,-0.04131332576873752,1.0,0.0938050802704222,9.050814324434946e-12,2.3,0.016409266913186907,0.3832755948853231,0.0,-0.001658634721835274,0.28136836898125345,0.11721193971290399,0.19163779744266154,1.75,5234219.997632413,0.1876101605408444,0.047834707664425255,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.1051187284328845,3.3007280727925737e-09
8.0,0.0010881110640528324,12.337471386463328,116.45464539374667,60.54741056231433,6.711240240089234,5.83780824961786,6.926250064752018,1.4709657721594351,301.4598483833708,-0.04052594368870495,-0.08177163769944816,-0.04124569401074321,1.0,0.09290156523070807,8.963638375752713e-12,2.3,0.016190382034514138,0.3763580365067825,0.0,-0.0016156634193313522,0.28209202547912215,0.11704547107693679,0.18817901825339126,1.75,5267131.054852454,0.18580313046141614,0.04820087467967244,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.1051187284328845,3.3007280727925737e-09
