version,scenario,time,CO2,Ca,Cl,Cll,H,HCO3,Hi,J_Ae2,J_Ae4,J_Cl_code,J_K_code,J_NHE1,J_NKCC1,J_NaK,J_buffer,J_tK,J_tNa,K,Kl,Na,Nal,Va,Vb,Vt,cell_volume_pL_from_delta_Hi,pH,q_a,q_b,q_t,q_total
salivary_7_state,wt,0.0,6.600123698596897,0.05,50.0,124.3,0.00012302687700582737,10.0,28.7,0.01953848378464417,0.038883338624774534,-0.06605494376134466,0.045308816057599836,0.09730516107461193,0.0038165606501103437,0.020746127703744822,0.09730516118457878,0.002975926669859462,0.06307901709148524,120.0,5.6,25.0,118.7,-50.23999999999992,-62.799999999999905,12.559999999999988,1.3000000000000012,6.910000000266207,0.00046334131397280265,0.00046334131397271754,6.807416278789713e-05,0.0005314154767606997
salivary_7_state,wt,1.0,6.600123698596884,0.05,50.00000000000002,124.29999999999998,0.00012302687707688165,10.000000000000016,28.699999999999992,0.01953848378464413,0.03888333865924486,-0.06605494376134466,0.04530881605759993,0.0973051611339651,0.0038165606501104257,0.02074612770374473,0.09730516114031748,0.002975926669859455,0.06307901709148521,120.00000000000004,5.600000000000002,24.999999999999947,118.69999999999997,-50.2399999999999,-62.799999999999876,12.559999999999974,1.300000000000001,6.91000000001538,0.00046334131397272855,0.00046334131397272063,6.807416278789671e-05,0.0005314154767606253
salivary_7_state,wt,2.0,6.600123698596881,0.05,50.00000000000002,124.29999999999998,0.00012302687710530336,10.000000000000014,28.699999999999992,0.01953848378464413,0.03888333869371518,-0.06605494376134466,0.04530881605759992,0.09730516115770636,0.003816560650110393,0.020746127703744753,0.09730516112261307,0.002975926669859457,0.06307901709148524,120.00000000000001,5.600000000000002,24.99999999999996,118.69999999999997,-50.2399999999999,-62.79999999999988,12.559999999999981,1.300000000000001,6.9099999999150485,0.00046334131397271207,0.00046334131397272063,6.807416278789671e-05,0.0005314154767606088
salivary_7_state,wt,3.0,6.600123698596884,0.05,50.00000000000003,124.29999999999998,0.00012302687707688165,10.000000000000012,28.699999999999992,0.01953848378464413,0.038883338676480014,-0.06605494376134469,0.04530881605759992,0.0973051611339651,0.0038165606501103597,0.020746127703744767,0.09730516114031751,0.002975926669859455,0.06307901709148521,120.00000000000001,5.600000000000002,24.999999999999968,118.69999999999997,-50.23999999999991,-62.79999999999988,12.559999999999974,1.300000000000001,6.91000000001538,0.00046334131397272855,0.00046334131397271754,6.807416278789671e-05,0.0005314154767606253
salivary_7_state,wt,4.0,6.600123698596884,0.05,50.00000000000003,124.29999999999998,0.00012302687707688165,10.00000000000001,28.699999999999992,0.01953848378464413,0.038883338676480014,-0.06605494376134469,0.045308816057599885,0.09730516113396509,0.003816560650110344,0.02074612770374478,0.09730516114031752,0.002975926669859455,0.06307901709148521,120.0,5.600000000000002,24.999999999999975,118.69999999999997,-50.23999999999991,-62.79999999999988,12.559999999999974,1.300000000000001,6.91000000001538,0.00046334131397274503,0.00046334131397271754,6.807416278789671e-05,0.0005314154767606417
salivary_7_state,wt,5.0,6.600123698596884,0.05,50.000000000000036,124.29999999999998,0.00012302687707688165,10.00000000000001,28.699999999999992,0.01953848378464413,0.03888333869371518,-0.0660549437613447,0.0453088160575999,0.09730516113396509,0.0038165606501102778,0.020746127703744795,0.09730516114031752,0.002975926669859453,0.06307901709148518,120.0,5.600000000000002,24.999999999999982,118.69999999999997,-50.23999999999991,-62.799999999999876,12.559999999999967,1.300000000000001,6.91000000001538,0.00046334131397272855,0.00046334131397271754,6.807416278789671e-05,0.0005314154767606253
salivary_7_state,wt,6.0,6.6001236985968825,0.05,50.00000000000004,124.3,0.0001230268770910925,10.000000000000009,28.699999999999992,0.01953848378464413,0.038883338676480014,-0.06605494376134469,0.0453088160575999,0.0973051611458357,0.0038165606501102604,0.020746127703744805,0.09730516113146533,0.0029759266698594533,0.0630790170914852,119.99999999999999,5.600000000000003,24.99999999999999,118.69999999999999,-50.2399999999999,-62.799999999999876,12.559999999999974,1.300000000000001,6.909999999965214,0.00046334131397274503,0.00046334131397272063,6.807416278789713e-05,0.0005314154767606422
salivary_7_state,wt,7.0,6.6001236985968825,0.05,50.00000000000004,124.3,0.0001230268770910925,10.000000000000007,28.699999999999992,0.01953848378464413,0.038883338676480014,-0.0660549437613447,0.04530881605759987,0.0973051611458357,0.0038165606501102435,0.020746127703744822,0.09730516113146534,0.002975926669859455,0.06307901709148522,119.99999999999997,5.600000000000003,24.999999999999996,118.69999999999999,-50.23999999999991,-62.79999999999989,12.559999999999981,1.300000000000001,6.909999999965214,0.00046334131397274503,0.00046334131397272063,6.807416278789713e-05,0.0005314154767606422
salivary_7_state,wt,8.0,6.600123698596881,0.05,50.00000000000005,124.29999999999998,0.00012302687710530336,10.000000000000007,28.699999999999992,0.01953848378464413,0.038883338676480014,-0.06605494376134471,0.04530881605759987,0.09730516115770634,0.0038165606501101776,0.02074612770374483,0.09730516112261313,0.002975926669859455,0.06307901709148524,119.99999999999997,5.600000000000003,25.000000000000004,118.69999999999997,-50.23999999999991,-62.79999999999989,12.559999999999981,1.300000000000001,6.9099999999150485,0.00046334131397271207,0.00046334131397272063,6.807416278789671e-05,0.0005314154767606088
salivary_7_state,wt,9.0,6.600123698596884,0.05,50.00000000000005,124.29999999999998,0.00012302687707688165,10.000000000000007,28.699999999999992,0.01953848378464413,0.038883338676480014,-0.06605494376134471,0.04530881605759987,0.09730516113396509,0.0038165606501101776,0.020746127703744822,0.09730516114031755,0.002975926669859455,0.06307901709148524,119.99999999999999,5.600000000000003,25.0,118.69999999999997,-50.23999999999991,-62.79999999999989,12.559999999999981,1.300000000000001,6.91000000001538,0.00046334131397272855,0.00046334131397272063,6.807416278789671e-05,0.0005314154767606253
salivary_7_state,wt,10.0,6.600123698596884,0.05,50.00000000000005,124.29999999999998,0.00012302687707688165,10.000000000000007,28.699999999999992,0.01953848378464413,0.038883338676480014,-0.06605494376134471,0.04530881605759987,0.09730516113396509,0.0038165606501101776,0.020746127703744822,0.09730516114031755,0.002975926669859457,0.06307901709148524,119.99999999999999,5.600000000000002,25.0,118.69999999999997,-50.23999999999991,-62.79999999999989,12.559999999999981,1.300000000000001,6.91000000001538,0.00046334131397272855,0.00046334131397272063,6.807416278789671e-05,0.0005314154767606253
salivary_7_state,wt,11.0,6.600123698596887,0.05,50.00000000000004,124.29999999999998,0.0001230268770626708,10.000000000000007,28.699999999999992,0.01953848378464413,0.03888333869371518,-0.06605494376134471,0.04530881605759987,0.09730516112209445,0.003816560650110211,0.020746127703744822,0.09730516114916979,0.002975926669859457,0.06307901709148524,119.99999999999999,5.600000000000002,25.0,118.69999999999997,-50.23999999999991,-62.79999999999989,12.559999999999981,1.300000000000001,6.910000000065545,0.0004633413139727409,0.00046334131397272063,6.807416278789671e-05,0.0005314154767606376
salivary_7_state,wt,12.0,6.600123698596887,0.05,50.00000000000004,124.29999999999998,0.0001230268770626708,10.000000000000007,28.699999999999992,0.01953848378464413,0.03888333869371518,-0.06605494376134471,0.04530881605759987,0.09730516112209445,0.003816560650110211,0.020746127703744822,0.09730516114916979,0.002975926669859457,0.06307901709148524,119.99999999999999,5.600000000000002,25.0,118.69999999999997,-50.23999999999991,-62.79999999999989,12.559999999999981,1.300000000000001,6.910000000065545,0.0004633413139727409,0.00046334131397272063,6.807416278789671e-05,0.0005314154767606376
salivary_7_state,wt,13.0,6.600123698596889,0.05,50.000000000000036,124.29999999999995,0.00012302687704845994,10.000000000000007,28.699999999999992,0.01953848378464413,0.038883338676480014,-0.06605494376134471,0.04530881605759987,0.09730516111022382,0.0038165606501102435,0.020746127703744822,0.097305161158022,0.002975926669859458,0.06307901709148525,120.0,5.600000000000001,24.999999999999996,118.69999999999996,-50.23999999999991,-62.79999999999989,12.559999999999981,1.300000000000001,6.91000000011571,0.00046334131397270795,0.00046334131397271754,6.807416278789671e-05,0.0005314154767606047
salivary_7_state,wt,14.0,6.600123698596889,0.05,50.000000000000036,124.29999999999995,0.00012302687704845994,10.000000000000007,28.699999999999992,0.01953848378464413,0.038883338676480014,-0.06605494376134471,0.04530881605759987,0.09730516111022382,0.0038165606501102435,0.020746127703744822,0.097305161158022,0.002975926669859458,0.06307901709148525,120.0,5.600000000000001,24.999999999999996,118.69999999999996,-50.23999999999991,-62.79999999999989,12.559999999999981,1.300000000000001,6.91000000011571,0.00046334131397270795,0.00046334131397271754,6.807416278789671e-05,0.0005314154767606047
salivary_7_state,wt,15.0,6.600123698596889,0.05,50.000000000000036,124.29999999999995,0.00012302687704845994,10.000000000000007,28.699999999999992,0.01953848378464413,0.038883338676480014,-0.06605494376134471,0.04530881605759987,0.09730516111022382,0.0038165606501102435,0.020746127703744822,0.097305161158022,0.002975926669859458,0.06307901709148525,120.0,5.600000000000001,24.999999999999996,118.69999999999996,-50.23999999999991,-62.79999999999989,12.559999999999981,1.300000000000001,6.91000000011571,0.00046334131397270795,0.00046334131397271754,6.807416278789671e-05,0.0005314154767606047
salivary_7_state,wt,16.0,6.600123698596889,0.05,50.000000000000036,124.29999999999995,0.00012302687704845994,10.000000000000007,28.699999999999992,0.01953848378464413,0.038883338676480014,-0.06605494376134471,0.04530881605759987,0.09730516111022382,0.0038165606501102435,0.020746127703744822,0.097305161158022,0.002975926669859458,0.06307901709148525,120.0,5.600000000000001,24.999999999999996,118.69999999999996,-50.23999999999991,-62.79999999999989,12.559999999999981,1.300000000000001,6.91000000011571,0.00046334131397270795,0.00046334131397271754,6.807416278789671e-05,0.0005314154767606047
