AE4_minus_AE2_reduction,D_AE2,D_AE4_5pct,R_AE2,R_AE4_5pct,ae2_expression_for_loss,ae2_reuse_scope,ae2_signed_cl_fmol_s,ae2_source_path,ae4_5pct_source_path,ae4_5pct_source_sha256,ae4_5pct_total_0_600_pL,ae4_cancellation_fraction,ae4_capacity_scale,ae4_expression,ae4_gross_branch_fmol_s,ae4_net_cl_fmol_s,ae4_productive_fraction,calcium_uM,candidate_id,cl_i_mM,condition,exclusion_reason,genotype_numerical_status,hco3_i_mM,inherited_share,k_i_mM,na_i_mM,new_genotype_simulation,nkcc1_capacity_scale,paired_numerical_gate_pass,ph_i,realized_ae4_share,root_id,routing_family,status,target_share,volume_i_pL,wt_admissible,wt_status,wt_total_0_600_pL
-0.16202536013873758,-0.0004173674815157735,-0.16244272762025336,1.0004173674815158,1.1624427276202534,0.0,Frozen validated matched ratio; no new AE2 trajectory,-0.0007970646209798337,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00_ca0.25_AE4_5pct_production_radau.json,23fa81b10a3269d74223b5a052086056699e8c01a02ac97c6bd846f78f08fe45,1.2090616109782286,0.9900375659883516,1.0,0.05,0.38192475549180516,0.0038049001740020627,0.00996243401164841,0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline,52.30555987274908,inherited_baseline,,COMPLETE,7.147374385507965,0.01370478692478734,117.25346909672912,14.41423310273199,False,1.0,True,7.046777296541653,0.01370478692478734,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,BASELINE_HASH_VALID_REUSE,,1.3,True,WT_ADMISSIBLE,1.0401042410522996
-0.18356296596768562,-0.0004381142729947829,-0.1840010802406804,1.0004381142729948,1.1840010802406804,0.0,Frozen validated matched ratio; no new AE2 trajectory,-0.0007970646209798337,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00_ca0.50_AE4_5pct_production_radau.json,48091297dcec49a3e5ed6215e48d450b321379f655a93fbba809cf2bbcb4014c,1.2775439798341002,0.9900375659883516,1.0,0.05,0.38192475549180516,0.0038049001740020627,0.00996243401164841,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline,52.30555987274908,inherited_baseline,,COMPLETE,7.147374385507965,0.01370478692478734,117.25346909672912,14.41423310273199,False,1.0,True,7.046777296541653,0.01370478692478734,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,BASELINE_HASH_VALID_REUSE,,1.3,True,WT_ADMISSIBLE,1.0790057552771866
,,,,,,,,,,,,,7.29672052172761,,,,,0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.10,,share_0.10,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,,0.01370478692478734,,,False,0.9125056961331598,False,,,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.1,,False,NOT_RUN_REST_REJECTED,
,,,,,,,,,,,,,7.29672052172761,,,,,0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.10,,share_0.10,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,,0.01370478692478734,,,False,0.9125056961331598,False,,,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.1,,False,NOT_RUN_REST_REJECTED,
,,,,,,,,,,,,,7.29672052172761,,,,,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.10,,share_0.10,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,,0.01370478692478734,,,False,0.9125056961331598,False,,,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.1,,False,NOT_RUN_REST_REJECTED,
,,,,,,,,,,,,,21.890161565182826,,,,,0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30,,share_0.30,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,,0.01370478692478734,,,False,0.7097266525480131,False,,,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.3,,False,NOT_RUN_REST_REJECTED,
,,,,,,,,,,,,,21.890161565182826,,,,,0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30,,share_0.30,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,,0.01370478692478734,,,False,0.7097266525480131,False,,,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.3,,False,NOT_RUN_REST_REJECTED,
,,,,,,,,,,,,,21.890161565182826,,,,,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30,,share_0.30,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,,0.01370478692478734,,,False,0.7097266525480131,False,,,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.3,,False,NOT_RUN_REST_REJECTED,
-0.13926668744988047,-0.0012546122826018191,-0.14052129973248229,1.0012546122826018,1.1405212997324823,0.0,Frozen validated matched ratio; no new AE2 trajectory,-0.0018460155324911806,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00_ca0.10_AE4_5pct_production_radau.json,e555ae358032e6b05befb60477433ba97dbe8ad1f2ecb5041e90b05007bbff82,0.8417683443817963,0.9680194295617562,1.0,0.05,0.13712572222327207,0.004385358818456406,0.0319805704382438,0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,51.0172208230514,inherited_baseline,,COMPLETE,4.429886221962234,0.01789953114568505,105.93491592621889,18.98139711993734,False,1.0,True,6.838597585025212,0.01789953114568505,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,BASELINE_HASH_VALID_REUSE,,1.3,True,WT_ADMISSIBLE,0.7380557860508516
-0.17847815800319466,-0.0014364724001827422,-0.1799146304033774,1.0014364724001827,1.1799146304033774,0.0,Frozen validated matched ratio; no new AE2 trajectory,-0.0018460155324911806,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00_ca0.25_AE4_5pct_production_radau.json,1e760938b0306ce90d5aea58e47b464adaf6c10fc564326d5d7359e0259b76b8,0.9903269620761913,0.9680194295617562,1.0,0.05,0.13712572222327207,0.004385358818456406,0.0319805704382438,0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,51.0172208230514,inherited_baseline,,COMPLETE,4.429886221962234,0.01789953114568505,105.93491592621889,18.98139711993734,False,1.0,True,6.838597585025212,0.01789953114568505,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,BASELINE_HASH_VALID_REUSE,,1.3,True,WT_ADMISSIBLE,0.8393208597961263
