ae2_signed_cl_fmol_s,ae4_branches_oppose,ae4_cancellation_fraction,ae4_capacity_scale,ae4_cl_fmol_s,ae4_gross_branch_fmol_s,ae4_j_k_fmol_s,ae4_j_na_fmol_s,ae4_net_cl_fmol_s,ae4_productive_fraction,allocation_eligible,bdf_gate_pass,calcium_uM,candidate_id,cl_i_mM,cl_l_mM,condition,continuation_step_attempts,fixed_parameter_rank,gate_failures,hco3_i_mM,inherited_share,k_i_mM,k_l_mM,max_abs_charge_fmol,max_abs_current_A,max_abs_scaled_rest_residual,max_dimensionless_conservation_ratio,na_i_mM,na_l_mM,nkcc1_capacity_scale,nkcc1_cl_fmol_s,numerical_gate_pass,numerical_rest_pass,osm_bath_mOsm,osm_cell_mOsm,osm_lumen_mOsm,ph_i,ph_l,positive_loading_eligible,positive_pool_fmol_s,realized_ae4_share,rest_outflow_pL_s,reused_inherited,root_id,root_payload_path,routing_family,solver_label,status,sustainment_Q600_Q60,sustainment_gate_pass,target_share,tic_i_mM,tic_l_mM,total_basolateral_cl_fmol_s,trajectory_path,trajectory_sha256,v_apical_mV,v_basolateral_mV,v_transepithelial_mV,volume_i_pL,volume_l_pL,wt_admissible,wt_dynamic_gate_without_bdf,wt_rest_admissible,wt_total_0_600_pL
-0.0007970646209798337,True,0.9900375659883516,1.0,0.0038049001740020627,0.38192475549180516,0.19286482783290362,-0.18905992765890156,0.0038049001740020627,0.00996243401164841,True,True,0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline,52.30555987274908,146.01121731489613,inherited_baseline,0,10,,7.147374385507965,0.01370478692478734,117.25346909672912,22.043492179818998,8.100187187665142e-13,6.462348535570529e-27,1.5441207340538554e-11,0.006490807891168515,14.41423310273199,128.3185880529636,1.0,0.27382803165365593,True,True,301.1615928036609,301.18345830497987,301.44412342487084,7.046777296541653,6.879978559308944,True,0.277632931827658,0.01370478692478734,0.001199531279443772,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,results/16_wt_chloride_allocation/wt_roots/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline.json,AE4NA20,production_radau,WT_ADMISSIBLE,0.9601915858111638,True,,7.959285563756632,5.070825877192134,0.2768358672066782,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00_ca0.25_WT_production_radau.json,dfa5c9aa9eb9026043f447a766c672d457d28aa1e8514cda0bc03d52537fa661,-35.891172288448885,-71.23257578708805,-35.341403498639174,1.3,0.10599765639721886,True,True,True,1.0401042410522996
-0.0007970646209798337,True,0.9900375659883516,1.0,0.0038049001740020627,0.38192475549180516,0.19286482783290362,-0.18905992765890156,0.0038049001740020627,0.00996243401164841,True,True,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline,52.30555987274908,146.01121731489613,inherited_baseline,0,10,,7.147374385507965,0.01370478692478734,117.25346909672912,22.043492179818998,2.1316282072803006e-13,6.462348535570529e-27,1.5441207340538554e-11,0.006544098596350523,14.41423310273199,128.3185880529636,1.0,0.27382803165365593,True,True,301.1615928036609,301.18345830497987,301.44412342487084,7.046777296541653,6.879978559308944,True,0.277632931827658,0.01370478692478734,0.001199531279443772,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,results/16_wt_chloride_allocation/wt_roots/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline.json,AE4NA20,production_radau,WT_ADMISSIBLE,0.9485957503682491,True,,7.959285563756632,5.070825877192134,0.2768358672066782,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00_ca0.50_WT_production_radau.json,192072ef63d3361104c16209704dbb775998b96e432e2f2d2a1478dfadd8802a,-35.891172288448885,-71.23257578708805,-35.341403498639174,1.3,0.10599765639721886,True,True,True,1.0790057552771866
,,,7.29672052172761,,,,,,,True,,0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.10,,,share_0.10,24,,NUMERICAL_CONTINUATION_FAILURE,,0.01370478692478734,,,,,,,,,0.9125056961331598,,,False,,,,,,,,,,,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,results/16_wt_chloride_allocation/wt_roots/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.10.json,AE4NA20,production_radau,NOT_RUN_REST_REJECTED,,,0.1,,,,,,,,,,,False,,False,
,,,7.29672052172761,,,,,,,True,,0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.10,,,share_0.10,24,,NUMERICAL_CONTINUATION_FAILURE,,0.01370478692478734,,,,,,,,,0.9125056961331598,,,False,,,,,,,,,,,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,results/16_wt_chloride_allocation/wt_roots/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.10.json,AE4NA20,production_radau,NOT_RUN_REST_REJECTED,,,0.1,,,,,,,,,,,False,,False,
,,,7.29672052172761,,,,,,,True,,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.10,,,share_0.10,24,,NUMERICAL_CONTINUATION_FAILURE,,0.01370478692478734,,,,,,,,,0.9125056961331598,,,False,,,,,,,,,,,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,results/16_wt_chloride_allocation/wt_roots/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.10.json,AE4NA20,production_radau,NOT_RUN_REST_REJECTED,,,0.1,,,,,,,,,,,False,,False,
,,,21.890161565182826,,,,,,,True,,0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30,,,share_0.30,16,,NUMERICAL_CONTINUATION_FAILURE,,0.01370478692478734,,,,,,,,,0.7097266525480131,,,False,,,,,,,,,,,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,results/16_wt_chloride_allocation/wt_roots/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30.json,AE4NA20,production_radau,NOT_RUN_REST_REJECTED,,,0.3,,,,,,,,,,,False,,False,
,,,21.890161565182826,,,,,,,True,,0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30,,,share_0.30,16,,NUMERICAL_CONTINUATION_FAILURE,,0.01370478692478734,,,,,,,,,0.7097266525480131,,,False,,,,,,,,,,,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,results/16_wt_chloride_allocation/wt_roots/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30.json,AE4NA20,production_radau,NOT_RUN_REST_REJECTED,,,0.3,,,,,,,,,,,False,,False,
,,,21.890161565182826,,,,,,,True,,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30,,,share_0.30,16,,NUMERICAL_CONTINUATION_FAILURE,,0.01370478692478734,,,,,,,,,0.7097266525480131,,,False,,,,,,,,,,,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,results/16_wt_chloride_allocation/wt_roots/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30.json,AE4NA20,production_radau,NOT_RUN_REST_REJECTED,,,0.3,,,,,,,,,,,False,,False,
-0.0018460155324911806,True,0.9680194295617562,1.0,0.004385358818456406,0.13712572222327207,0.07075554052086425,-0.06637018170240784,0.004385358818456406,0.0319805704382438,True,True,0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,51.0172208230514,145.55298395608276,inherited_baseline,0,10,,4.429886221962234,0.01789953114568505,105.93491592621889,18.553894280885828,2.1316282072803006e-13,6.462348535570529e-27,9.858867194845189e-11,0.00024158453015843404,18.98139711993734,131.77847623554823,1.0,0.2406131711856975,True,True,301.1615928036609,301.17988547765697,301.3979578644158,6.838597585025212,6.912653628961993,True,0.2449985300041539,0.01789953114568505,0.0010035276265941556,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,results/16_wt_chloride_allocation/wt_roots/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__inherited_baseline.json,AE4NA05,production_radau,WT_ADMISSIBLE,0.9507137221574503,True,,5.240131322026218,5.512603391898992,0.24315251447166272,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00_ca0.10_WT_production_radau.json,d9ef71633c1fb1bfcbea3133679305ede63048eca679cce4070674d01c2b8b45,-35.4450782444366,-69.09331965733882,-33.64824141290222,1.3,0.10501763813297078,True,True,True,0.7380557860508516
-0.0018460155324911806,True,0.9680194295617562,1.0,0.004385358818456406,0.13712572222327207,0.07075554052086425,-0.06637018170240784,0.004385358818456406,0.0319805704382438,True,True,0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,51.0172208230514,145.55298395608276,inherited_baseline,0,10,,4.429886221962234,0.01789953114568505,105.93491592621889,18.553894280885828,1.5631940186722204e-13,6.462348535570529e-27,9.858867194845189e-11,0.0014033219031261979,18.98139711993734,131.77847623554823,1.0,0.2406131711856975,True,True,301.1615928036609,301.17988547765697,301.3979578644158,6.838597585025212,6.912653628961993,True,0.2449985300041539,0.01789953114568505,0.0010035276265941556,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,results/16_wt_chloride_allocation/wt_roots/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__inherited_baseline.json,AE4NA05,production_radau,WT_ADMISSIBLE,0.8964588349658338,True,,5.240131322026218,5.512603391898992,0.24315251447166272,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00_ca0.25_WT_production_radau.json,fc8e5d6ec7a311b3a3bedf0466239635187f8ee876c0b1c943ae258976fe94c1,-35.4450782444366,-69.09331965733882,-33.64824141290222,1.3,0.10501763813297078,True,True,True,0.8393208597961263
