ae2_signed_cl_fmol_s,ae4_branches_oppose,ae4_cancellation_fraction,ae4_capacity_scale,ae4_cl_fmol_s,ae4_gross_branch_fmol_s,ae4_j_k_fmol_s,ae4_j_na_fmol_s,ae4_net_cl_fmol_s,ae4_productive_fraction,allocation_eligible,candidate_id,cl_i_mM,cl_l_mM,condition,continuation_step_attempts,fixed_parameter_rank,gate_failures,hco3_i_mM,inherited_share,k_i_mM,k_l_mM,max_abs_charge_fmol,max_abs_current_A,max_abs_scaled_rest_residual,max_dimensionless_conservation_ratio,na_i_mM,na_l_mM,nkcc1_capacity_scale,nkcc1_cl_fmol_s,numerical_rest_pass,osm_bath_mOsm,osm_cell_mOsm,osm_lumen_mOsm,ph_i,ph_l,positive_loading_eligible,positive_pool_fmol_s,realized_ae4_share,rest_outflow_pL_s,root_id,root_payload_path,routing_family,status,target_share,tic_i_mM,tic_l_mM,total_basolateral_cl_fmol_s,v_apical_mV,v_basolateral_mV,v_transepithelial_mV,volume_i_pL,volume_l_pL,wt_rest_admissible
,,,7.378533896987566,,,,,,,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__share_0.10,,,share_0.10,26,,NUMERICAL_CONTINUATION_FAILURE,,0.013552827891842714,,,,,,,,,0.9123651275481797,,False,,,,,,,,,,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,results/16_wt_chloride_allocation/wt_roots/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__share_0.10.json,AE4NA20,NUMERICAL_CONTINUATION_FAILURE,0.1,,,,,,,,,False
,,,22.135601690962698,,,,,,,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__share_0.30,,,share_0.30,26,,NUMERICAL_CONTINUATION_FAILURE,,0.013552827891842714,,,,,,,,,0.709617321426362,,False,,,,,,,,,,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,results/16_wt_chloride_allocation/wt_roots/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__share_0.30.json,AE4NA20,NUMERICAL_CONTINUATION_FAILURE,0.3,,,,,,,,,False
-0.001879082504537062,True,0.9686028013801633,1.0,0.004407693092673928,0.14038491605710185,0.07239630457488788,-0.06798861148221395,0.004407693092673928,0.0313971986198367,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__inherited_baseline,52.21277016956934,145.3022861531174,inherited_baseline,0,10,,4.464600569085338,0.018682466119821606,107.77878131867274,23.60561596140796,1.4432899320127035e-15,9.693522803355793e-27,6.438100920436174e-11,8.881784197001252e-05,18.407742948763282,126.72153017081858,1.0,0.23151903437493176,True,301.1615928036609,301.17927321112165,301.39004658710076,6.841704036459819,6.9327689929825125,True,0.23592672746760568,0.018682466119821606,0.0009699389679239973,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,results/16_wt_chloride_allocation/wt_roots/N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__inherited_baseline.json,AE4NA05,INHERITED_ROOT_REUSED,,5.275396992992236,5.760614301756793,0.23404764496306862,-34.501865042602475,-66.66292026419362,-32.161055221591134,1.2999999999999972,0.10484969483961999,True
,,,5.352612409873589,,,,,,,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__share_0.10,,,share_0.10,23,,NUMERICAL_CONTINUATION_FAILURE,,0.018682466119821606,,,,,,,,,0.9171343310674938,,False,,,,,,,,,,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,results/16_wt_chloride_allocation/wt_roots/N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__share_0.10.json,AE4NA05,NUMERICAL_CONTINUATION_FAILURE,0.1,,,,,,,,,False
,,,16.057837229620766,,,,,,,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__share_0.30,,,share_0.30,24,,NUMERICAL_CONTINUATION_FAILURE,,0.018682466119821606,,,,,,,,,0.7133267019413839,,False,,,,,,,,,,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,results/16_wt_chloride_allocation/wt_roots/N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__share_0.30.json,AE4NA05,NUMERICAL_CONTINUATION_FAILURE,0.3,,,,,,,,,False
-0.0008161273589426067,True,0.9900774081375072,1.0,0.0038151466854192406,0.38449094130742545,0.19415304399642236,-0.19033789731100312,0.0038151466854192406,0.00992259186249276,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline,53.02276689207907,146.0180942184643,inherited_baseline,0,10,,7.188876784913268,0.014125822944054173,118.11570840046096,23.84936333824938,2.7755575615628914e-16,9.693522803355793e-27,1.2674323396355547e-11,2.47198095326695e-06,14.330572580918796,126.50224248693233,1.0,0.2662679982420845,True,301.1615928036609,301.18229138962386,301.42904536580255,7.048271859910505,6.874745333654742,True,0.27008314492750374,0.014125822944054173,0.0011355148432486695,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,results/16_wt_chloride_allocation/wt_roots/N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline.json,AE4NA20,INHERITED_ROOT_REUSED,,8.00272460447838,5.0593453221565055,0.26926701756856114,-35.29730852512663,-71.32074668811609,-36.02343816298945,1.3000000000000016,0.10567757421624335,True
,,,7.079233570748662,,,,,,,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__share_0.10,,,share_0.10,28,,NUMERICAL_CONTINUATION_FAILURE,,0.014125822944054173,,,,,,,,,0.912895398769459,,False,,,,,,,,,,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,results/16_wt_chloride_allocation/wt_roots/N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__share_0.10.json,AE4NA20,NUMERICAL_CONTINUATION_FAILURE,0.1,,,,,,,,,False
,,,21.237700712245985,,,,,,,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__share_0.30,,,share_0.30,20,,NUMERICAL_CONTINUATION_FAILURE,,0.014125822944054173,,,,,,,,,0.7100297545984682,,False,,,,,,,,,,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,results/16_wt_chloride_allocation/wt_roots/N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__share_0.30.json,AE4NA20,NUMERICAL_CONTINUATION_FAILURE,0.3,,,,,,,,,False
-0.0018582204249246942,True,0.9682101203346832,1.0,0.0043934036073688815,0.13820132864995244,0.07129736612866065,-0.06690396252129177,0.0043934036073688815,0.03178987966531676,True,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,51.450651483083206,145.56561728606735,inherited_baseline,0,10,,4.4423140329245765,0.018205309021634093,106.57053590437759,19.865343085254178,1.6653345369377348e-16,1.9387045606711586e-26,1.0542131403945554e-10,0.0001545430450278218,18.801211031536752,130.46157838609733,1.0,0.23693200329168598,True,301.1615928036609,301.1792781438742,301.3901103246581,6.83934235228688,6.909226229149555,True,0.24132540689905485,0.018205309021634093,0.0009702095764451274,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,results/16_wt_chloride_allocation/wt_roots/N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1_B00__inherited_baseline.json,AE4NA05,INHERITED_ROOT_REUSED,,5.253445313305777,5.497571567239231,0.23946718647413015,-35.108749747102394,-69.19925918673972,-34.09050943963732,1.2999999999999794,0.10485104788222564,True
,,,5.4929031900071585,,,,,,,True,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1_B00__share_0.10,,,share_0.10,27,,NUMERICAL_CONTINUATION_FAILURE,,0.018205309021634093,,,,,,,,,0.9166885992255093,,False,,,,,,,,,,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,results/16_wt_chloride_allocation/wt_roots/N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1_B00__share_0.10.json,AE4NA05,NUMERICAL_CONTINUATION_FAILURE,0.1,,,,,,,,,False
