D_AE2,R_AE2,ae2_expression_for_loss,ae2_reuse_scope,ae2_source_path,calcium_uM,candidate_id,condition,exclusion_reason,genotype_numerical_status,new_genotype_simulation,paired_numerical_gate_pass,root_id,routing_family,status,target_share,wt_admissible,wt_status,wt_total_0_600_pL
,,,,,0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.30,share_0.30,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_WT_INADMISSIBLE,0.3,False,NOT_RUN_REST_REJECTED,
,,,,,0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.30,share_0.30,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_WT_INADMISSIBLE,0.3,False,NOT_RUN_REST_REJECTED,
-0.0003179501472343471,1.0003179501472343,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__inherited_baseline,inherited_baseline,,COMPLETE,False,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,BASELINE_HASH_VALID_REUSE,,True,WT_ADMISSIBLE,0.8878884180219158
-0.000392643527121983,1.000392643527122,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__inherited_baseline,inherited_baseline,,COMPLETE,False,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,BASELINE_HASH_VALID_REUSE,,True,WT_ADMISSIBLE,1.0228347840731686
-0.00041646420393726125,1.0004164642039373,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__inherited_baseline,inherited_baseline,,COMPLETE,False,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,BASELINE_HASH_VALID_REUSE,,True,WT_ADMISSIBLE,1.0644291289302974
,,,,,0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__share_0.10,share_0.10,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.1,False,NOT_RUN_REST_REJECTED,
,,,,,0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__share_0.10,share_0.10,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.1,False,NOT_RUN_REST_REJECTED,
,,,,,0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__share_0.10,share_0.10,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.1,False,NOT_RUN_REST_REJECTED,
,,,,,0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__share_0.30,share_0.30,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.3,False,NOT_RUN_REST_REJECTED,
,,,,,0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__share_0.30,share_0.30,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.3,False,NOT_RUN_REST_REJECTED,
,,,,,0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__share_0.30,share_0.30,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.3,False,NOT_RUN_REST_REJECTED,
-0.0013919277856357937,1.0013919277856358,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,0.1,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__inherited_baseline,inherited_baseline,,COMPLETE,False,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,BASELINE_HASH_VALID_REUSE,,True,WT_ADMISSIBLE,0.7193712867851209
-0.0015598183303151547,1.0015598183303152,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,0.25,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__inherited_baseline,inherited_baseline,,COMPLETE,False,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,BASELINE_HASH_VALID_REUSE,,True,WT_ADMISSIBLE,0.8200870108901432
-0.00160080127286788,1.0016008012728679,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,0.5,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__inherited_baseline,inherited_baseline,,COMPLETE,False,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,BASELINE_HASH_VALID_REUSE,,True,WT_ADMISSIBLE,0.8475502179636278
,,,,,0.1,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__share_0.10,share_0.10,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_WT_INADMISSIBLE,0.1,False,NOT_RUN_REST_REJECTED,
,,,,,0.25,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__share_0.10,share_0.10,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_WT_INADMISSIBLE,0.1,False,NOT_RUN_REST_REJECTED,
,,,,,0.5,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__share_0.10,share_0.10,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_WT_INADMISSIBLE,0.1,False,NOT_RUN_REST_REJECTED,
,,,,,0.1,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__share_0.30,share_0.30,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_WT_INADMISSIBLE,0.3,False,NOT_RUN_REST_REJECTED,
,,,,,0.25,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__share_0.30,share_0.30,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_WT_INADMISSIBLE,0.3,False,NOT_RUN_REST_REJECTED,
,,,,,0.5,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00__share_0.30,share_0.30,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_WT_INADMISSIBLE,0.3,False,NOT_RUN_REST_REJECTED,
-0.00038676150747285476,1.0003867615074729,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,0.1,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline,inherited_baseline,,COMPLETE,False,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,BASELINE_HASH_VALID_REUSE,,True,WT_ADMISSIBLE,0.8570857505364154
-0.00046156864678570386,1.0004615686467857,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,0.25,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline,inherited_baseline,,COMPLETE,False,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,BASELINE_HASH_VALID_REUSE,,True,WT_ADMISSIBLE,0.9855236092917946
