attempt_id,cl_i_mM,cl_l_mM,k_i_mM,k_l_mM,na_i_mM,na_l_mM,ph_i,ph_l,physiology_gate_failures,resting_gate_pass,root_id,seed_kind,tic_l_mM,volume_i_pL,volume_l_pL
legacy_00,51.11041984254161,144.5921479020864,101.5547186136759,21.27086816143276,26.772293639192533,129.11065070833956,6.8941662875304015,7.166548988903795,[],False,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,inherited_root,6.2809912379167026,1.499695415301697,0.10197564998099667
legacy_01,51.78928211601145,145.90397563672073,115.6751454723057,22.692092066033254,17.349318890055013,127.495931250226,7.049999999501381,6.819724490724787,[],False,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,inherited_root,5.099018824970651,1.4441157662285575,0.10062468801524253
legacy_02,50.50383753091941,145.751471809779,91.6922939687834,18.32585375037388,35.99046629453702,132.37900182942005,6.89360940507345,7.621270399245988,[],False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,inherited_root,5.091172897998908,1.4990763875952386,0.10819217603817471
legacy_03,51.52616222124344,146.08685363238396,113.59183400036953,21.255295700799252,19.14654856054836,128.93084834178347,7.049999998969224,6.80000013593921,[],False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,inherited_root,4.915508042735705,1.4440972820122702,0.10057127931878597
legacy_04,51.54558837410727,145.33605347154793,93.12569445937007,22.16011893800811,35.70887284881792,128.42784747157603,6.900476533168706,7.463214227546061,[],False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,inherited_root,5.470923638879791,1.5005970190964142,0.10495365026004808
legacy_05,52.43070088279835,145.90185003231122,118.44144370651108,23.64670200717127,15.275150795112422,126.59831568321499,7.049999998607964,6.886180846840165,[],False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,inherited_root,5.051608957313716,1.4442720758686147,0.10078299496069149
legacy_06,50.8666209483913,145.70710865483903,104.23570356843953,17.315391336801554,23.98911715625099,133.3193544081417,6.910282606651696,7.5225663723875265,[],False,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,inherited_root,5.10474414066502,1.4999298372979946,0.10605020044631554
legacy_07,52.098975745222155,146.11883311938126,96.45037613225499,18.851681066501726,36.909897039131735,131.39633377210342,7.049999999682022,6.867635946100024,[],False,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,inherited_root,4.832271997149895,1.4441550985854006,0.10079664174704195
legacy_08,50.91242008465851,144.9937324749852,77.33943788197061,19.33934928621042,50.48412898232587,130.75209881862122,6.862948911306118,6.800000141753663,[],False,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,inherited_root,6.112703764474685,1.4985171242268691,0.10077037852129685
legacy_09,51.876873612529025,146.03405706888736,95.18056815150574,20.994247071379363,37.945583262856836,129.2952943284724,7.049999999665448,6.930414355154535,[],False,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,inherited_root,4.882001223340374,1.4439692428789834,0.10093422995055144
