absolute_fmol_s,absolute_over_positive_pool,attempt_id,positive_loading_pool_fmol_s,ratio_gate_pass,root_id,seed_kind,signed_fmol_s,source
0.0024818080439660754,0.011786859274452091,legacy_00,0.21055719646584492,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,inherited_root,0.0024818080439660754,outflow_tic
0.15334697812737635,0.7282913179946866,legacy_00,0.21055719646584492,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,inherited_root,0.15334697812737635,para_cl
0.0022668549307498778,0.010765981732272879,legacy_00,0.21055719646584492,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,inherited_root,-0.0022668549307498778,para_hco3
0.004195849883247743,0.01992736393566279,legacy_00,0.21055719646584492,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,inherited_root,0.004195849883247743,para_k
0.04313819198204607,0.20487635999201592,legacy_00,0.21055719646584492,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,inherited_root,-0.04313819198204607,para_na
0.005252681656678387,0.024946578624922184,legacy_00,0.21055719646584492,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,inherited_root,0.005252681656678387,pump_apical_K
0.007879022485017581,0.03741986793738327,legacy_00,0.21055719646584492,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,inherited_root,-0.007879022485017581,pump_apical_Na
0.0026263408283391937,0.012473289312461092,legacy_00,0.21055719646584492,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,inherited_root,0.0026263408283391937,pump_apical_cycles
0.06502090857796072,0.3088040193796366,legacy_00,0.21055719646584492,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,inherited_root,0.06502090857796072,pump_basolateral_K
0.09753136286694108,0.4632060290694549,legacy_00,0.21055719646584492,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,inherited_root,-0.09753136286694108,pump_basolateral_Na
