attempt_id,candidate,capacity,domain_pass,fold,lower_fold,reference,root_id,seed_kind,upper_fold
legacy_01,4.4505002723499237e-10,paracellular_Cl,True,1.7802001089399693,0.01,2.5e-10,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,inherited_root,100.0
legacy_01,5.163020191371828e-12,paracellular_HCO3,True,0.10326040382743655,0.01,5e-11,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,inherited_root,100.0
legacy_02,15.012642650691548,AE4,True,99.99999999989994,0.01,0.1501264265070657,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_02,0.8451082784269849,NKCC1,True,2.640963370084328,0.01,0.32,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_02,5.000000000005007e-05,AE2,True,0.010000000000010015,0.01,0.005,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_02,7.440980590421933e-05,NHE1,True,0.010000000000010015,0.01,0.007440980590414482,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_02,0.007044756528513289,pump_apical,True,0.9309988434484607,0.01,0.007566880000000001,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_02,0.041497060763432715,pump_basolateral,True,0.5729017438905395,0.01,0.07243312,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_02,6.050846649707872e-09,K_apical,True,2.161016660609954,0.01,2.8000000000000003e-09,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_02,2.9159772637748862e-08,K_basolateral,True,2.603551128370434,0.01,1.1200000000000001e-08,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_02,2.942972437757932e-08,CaCC,True,0.9372523687127171,0.01,3.14e-08,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_02,0.0002000000000002003,CO2_basolateral,True,0.010000000000010015,0.01,0.02,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_02,0.00010000000000010014,CO2_apical,True,0.010000000000010015,0.01,0.01,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_02,5.084189429982821e-10,paracellular_Na,True,1.6947298099942738,0.01,3e-10,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_02,4.526765696942893e-09,paracellular_K,True,90.53531393885785,0.01,5e-11,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_02,6.377721681065458e-11,paracellular_Cl,True,0.25510886724261833,0.01,2.5e-10,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_02,1.0825745655813224e-10,paracellular_HCO3,True,2.1651491311626447,0.01,5e-11,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,inherited_root,100.0
legacy_03,14.491579884611397,AE4,True,96.52917358909725,0.01,0.1501264265070657,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,inherited_root,100.0
legacy_03,0.2582790608499289,NKCC1,True,0.8071220651560278,0.01,0.32,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,inherited_root,100.0
legacy_03,5.000000000005007e-05,AE2,True,0.010000000000010015,0.01,0.005,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,inherited_root,100.0
legacy_03,7.440980590421933e-05,NHE1,True,0.010000000000010015,0.01,0.007440980590414482,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,inherited_root,100.0
legacy_03,0.0009732954841895879,pump_apical,True,0.06431286634581147,0.01,0.015133760000000001,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,inherited_root,100.0
legacy_03,0.03468245477033332,pump_basolateral,True,0.23941019502082278,0.01,0.14486624,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,inherited_root,100.0
legacy_03,4.716585869109344e-10,K_apical,True,0.16844949532533368,0.01,2.8000000000000003e-09,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,inherited_root,100.0
