attempt_id,bath_mOsm,cell_bath_ratio,cell_mOsm,lumen_bath_ratio,lumen_mOsm,osmotic_gate_pass,root_id,seed_kind
legacy_00,301.1615928036609,1.0000239159707263,301.16879537549823,1.0003090208324645,301.2546580097754,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,inherited_root
legacy_01,301.1615928036609,1.0000075615104416,301.16387004018947,1.000097704936462,301.1910177779506,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,inherited_root
legacy_02,301.1615928036609,1.0000991693382655,301.1914587995302,1.0012813967422551,301.54750028757184,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,inherited_root
legacy_03,301.1615928036609,1.000006915550151,301.1636755017595,1.0000893636993715,301.1885057177024,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,inherited_root
legacy_04,301.1615928036609,1.0000599657751543,301.17965219202006,1.0007748355764046,301.39494352001185,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,inherited_root
legacy_05,301.1615928036609,1.000009478447979,301.1644473481515,1.000122472045678,301.1984766800112,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,inherited_root
legacy_06,301.1615928036609,1.0000732397915852,301.1836498159513,1.0009463548593072,301.4465985404473,True,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,inherited_root
legacy_07,301.1615928036609,1.0000096436144537,301.16449708995015,1.000124608025632,301.1991199551363,True,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,inherited_root
legacy_08,301.1615928036609,1.0000093256625509,301.16440133504864,1.0001205052088242,301.19788434429154,True,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,inherited_root
legacy_09,301.1615928036609,1.0000113092040868,301.164998701577,1.0001461238400584,301.2055996920795,True,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,inherited_root
robust_00,301.1615928036609,1.0000000290845634,301.1616015628143,1.0000003802244632,301.16170731266584,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,WT_only_high_carbon
robust_01,301.1615928036609,1.000000053962444,301.1616090550765,1.0000006972838305,301.1618027987699,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,WT_only_high_carbon
robust_02,301.1615928036609,1.0000000319316649,301.16160242025194,1.000000413261085,301.1617172620274,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,WT_only_high_carbon
robust_03,301.1615928036609,1.0000000357389034,301.16160356684594,1.0000004641774056,301.1617325960677,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,WT_only_high_carbon
robust_04,301.1615928036609,1.0000000559464963,301.16160965259684,1.0000007240785689,301.161810868316,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,WT_only_high_carbon
robust_05,301.1615928036609,1.00000003427407,301.1616031256944,1.0000004428766724,301.161726181105,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,WT_only_high_carbon
robust_06,301.1615928036609,1.000000095553586,301.16162158073104,1.0000012346762042,301.1619646407131,True,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,WT_only_high_carbon
robust_07,301.1615928036609,1.0000000638782964,301.1616120413504,1.0000008232320605,301.1618407295395,True,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,WT_only_high_carbon
robust_08,301.1615928036609,1.000000329520149,301.1616920424738,1.0000042661961286,301.1628776180822,True,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,WT_only_high_carbon
robust_09,301.1615928036609,1.0000000697731748,301.1616138166613,1.0000009016768245,301.1618643540896,True,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,WT_only_high_carbon
witness_00,301.1615928036609,1.0000006377809012,301.16178487877295,1.0000082427324872,301.1640751981058,True,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,task21_resting_witness
witness_01,301.1615928036609,1.0000028711496165,301.16245748365253,1.0000370990355445,301.1727656082969,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,task21_resting_witness
witness_02,301.1615928036609,1.0000006571102538,301.16179070003153,1.0000084943218177,301.1641509671493,True,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,task21_resting_witness
witness_03,301.1615928036609,1.0000022274557676,301.16226362778775,1.0000287820178309,301.17026084199495,True,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,task21_resting_witness
witness_04,301.1615928036609,1.0000006309453056,301.1617828201541,1.000008157939771,301.1640496617963,True,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,task21_resting_witness
witness_05,301.1615928036609,1.000000710480406,301.16180677307165,1.000009180522796,301.16435762452886,True,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,task21_resting_witness
witness_06,301.1615928036609,1.0000118561927447,301.16516343355244,1.0001531974077718,301.2077299789988,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,task21_resting_witness
